Entity,Year,Total wealth per capita,Produced capital,"Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,GDP,Gross national income,"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Land (crop, pasture)"
Sweden,1995,560142.61,186721.84,19421.81,3041.74,9568.21,1832.43,,,,0.35,,,,240.09,369350.03,,,-15591.51,,,,,,4979.43
Sweden,2000,648253.20,216752.21,19262.70,3203.92,9536.43,2398.31,,,,0.00,,,,143.97,428477.10,,,-16382.77,,,,,,4124.04
Sweden,2005,722871.13,245903.50,19087.63,3517.10,9388.43,2248.02,,,,0.00,,,,765.81,467764.13,,,-10649.95,,,,,,3934.10
Sweden,2010,821027.42,274649.16,18927.69,3392.84,8993.04,2613.81,,,,0.00,,,,7400.97,526309.29,,,-6259.70,,,,,,3928.00
Sweden,2014,886129.18,285791.55,18879.96,3218.12,8698.11,2875.36,,,,0.00,,,,9010.21,576520.60,,,-4073.14,,,,,,4088.38
Switzerland,1995,1219131.45,281978.20,8693.16,332.05,2310.27,407.51,,,,0.14,,,,0.00,876492.75,,,51967.21,,,,,,5643.32
Switzerland,2000,1288622.69,300296.20,10180.80,222.31,2305.62,176.82,,,,0.00,,,,0.00,897833.73,,,80311.96,,,,,,7476.04
Switzerland,2005,1326356.42,314420.03,9423.72,293.90,2270.14,224.87,,,,0.00,,,,0.00,918676.47,,,83836.20,,,,,,6634.81
Switzerland,2010,1398076.26,337717.85,8728.61,324.05,2189.54,323.74,,,,0.00,,,,0.00,936021.25,,,115608.54,,,,,,5891.28
Switzerland,2014,1466756.70,356075.21,8530.61,263.34,2118.03,984.64,,,,0.00,,,,0.25,1022950.27,,,79200.36,,,,,,5164.60
Tajikistan,1995,20616.82,11841.97,4713.88,0.00,88.44,666.55,,,,212.49,,,,8.64,4351.97,,,-512.12,,,,,,3958.89
Tajikistan,2000,20869.44,14469.64,3493.95,0.00,82.90,832.60,,,,24.77,,,,7.84,3577.79,,,-704.54,,,,,,2578.44
Tajikistan,2005,23354.45,14206.39,5709.90,0.48,75.36,1443.21,,,,38.97,,,,62.45,3758.28,,,-421.54,,,,,,4190.85
Tajikistan,2010,38333.69,28656.65,5773.24,1.09,67.64,1556.18,,,,49.12,,,,78.21,4363.98,,,-587.50,,,,,,4148.32
Tajikistan,2014,42285.62,30396.74,7202.18,0.82,62.06,2134.27,,,,43.40,,,,185.77,5014.71,,,-557.18,,,,,,5005.03
Tanzania,1995,20900.40,2829.13,11880.28,1467.05,348.63,3232.39,,,,1.09,,,,4.47,7018.53,,,-833.10,,,,,,6832.21
Tanzania,2000,16378.01,3307.06,6888.46,956.66,295.33,1746.37,,,,0.87,,,,0.13,6593.92,,,-412.43,,,,,,3890.10
Tanzania,2005,15420.37,2774.02,6094.02,838.67,247.07,1392.32,,,,6.58,,,,109.55,6787.94,,,-351.75,,,,,,3615.96
Tanzania,2010,16163.87,2680.72,6947.61,841.98,202.97,1591.54,,,,5.48,,,,248.39,6588.64,,,-306.96,,,,,,4311.12
Tanzania,2014,17450.60,3199.06,7678.44,813.26,173.24,1789.08,,,,7.87,,,,352.94,6706.05,,,-493.77,,,,,,4902.87
Thailand,1995,38416.07,12025.41,5140.60,67.29,485.55,679.36,,,,107.22,,,,10.52,23149.59,,,-2017.28,,,,,,3908.40
Thailand,2000,44850.10,14679.63,5570.90,69.06,503.50,844.07,,,,160.38,,,,4.45,26170.53,,,-1735.80,,,,,,4154.27
Thailand,2005,54484.61,15679.69,7271.26,104.04,453.59,2086.35,,,,381.94,,,,13.94,32468.75,,,-1330.97,,,,,,4627.28
Thailand,2010,57057.64,17508.20,7978.82,211.11,452.11,1041.33,,,,611.60,,,,84.23,31612.81,,,-738.02,,,,,,6274.28
Thailand,2014,62598.94,20379.81,9482.21,241.05,448.49,1087.54,,,,607.41,,,,54.57,33572.67,,,-1497.72,,,,,,7705.12
Togo,1995,12830.89,2639.78,3265.88,377.91,29.73,429.65,,,,0.00,,,,10.30,7550.87,,,-635.95,,,,,,2428.59
Togo,2000,14627.87,2655.34,3424.64,363.81,21.69,323.10,,,,0.00,,,,23.46,9338.82,,,-814.39,,,,,,2716.04
Togo,2005,12879.58,2326.08,2886.97,296.88,15.05,367.10,,,,0.00,,,,9.41,8329.50,,,-672.38,,,,,,2207.95
Togo,2010,17533.11,1921.71,3618.55,195.96,9.77,584.02,,,,0.00,,,,1032.77,11268.85,,,-308.77,,,,,,2828.79
Togo,2014,18923.75,1963.45,4000.82,144.70,6.35,811.07,,,,0.00,,,,1293.95,11869.44,,,-203.91,,,,,,3038.69
Tunisia,1995,28918.39,10343.78,5007.16,18.37,62.09,102.25,,,,628.49,,,,8.06,15715.25,,,-2784.34,,,,,,4824.44
Tunisia,2000,32390.09,11017.64,4911.29,22.79,65.99,94.87,,,,694.85,,,,10.23,18638.32,,,-2882.25,,,,,,4727.64
Tunisia,2005,35782.93,11989.03,4802.67,21.76,69.26,189.93,,,,1324.86,,,,15.14,20776.32,,,-3125.09,,,,,,4521.72
Tunisia,2010,42079.08,13969.00,6011.19,33.96,71.16,354.75,,,,2167.60,,,,617.64,23351.75,,,-4038.10,,,,,,5551.32
Tunisia,2014,45150.39,14838.14,6640.84,43.41,70.82,479.15,,,,3003.24,,,,534.34,24795.71,,,-4661.89,,,,,,6047.46
Turkey,1995,45282.75,22298.82,15406.04,272.37,546.96,26.57,,,,165.56,,,,40.02,9550.80,,,-2178.49,,,,,,14560.14
Turkey,2000,41608.14,18257.67,13731.21,205.39,520.49,46.02,,,,89.87,,,,22.72,12164.48,,,-2657.82,,,,,,12959.31
Turkey,2005,36997.25,19319.16,10971.25,143.03,507.87,39.21,,,,203.04,,,,53.27,9504.94,,,-3054.41,,,,,,10281.13
Turkey,2010,40238.88,22293.47,10866.07,154.31,500.80,40.35,,,,425.19,,,,333.05,10952.86,,,-4631.75,,,,,,10170.60
Turkey,2014,45998.00,26984.01,11921.58,177.28,484.20,49.98,,,,377.65,,,,555.03,12081.09,,,-5921.36,,,,,,11210.12
Turkmenistan,1995,86961.31,14304.00,16755.83,0.54,1219.11,288.28,,,,36744.34,,,,0.00,18342.13,,,815.01,,,,,,15247.91
Turkmenistan,2000,92265.00,31131.65,24780.93,0.56,1134.23,722.56,,,,17026.61,,,,0.00,20145.99,,,-820.18,,,,,,22923.58
Turkmenistan,2005,109526.22,33192.92,21146.60,0.43,1075.36,653.29,,,,32247.99,,,,0.00,22104.50,,,834.20,,,,,,19417.52
Turkmenistan,2010,118246.63,24064.53,20616.97,1.23,1012.63,696.84,,,,38159.84,,,,0.00,32285.08,,,3120.20,,,,,,18906.27
Turkmenistan,2014,146830.97,39739.66,21219.16,0.43,962.03,776.23,,,,37843.01,,,,0.00,47509.72,,,519.41,,,,,,19480.48
Uganda,1995,9010.45,1003.86,5176.51,31.78,38.96,469.10,,,,0.00,,,,0.00,3026.36,,,-196.27,,,,,,4636.68
Uganda,2000,8907.30,1404.24,4181.53,26.20,30.05,379.34,,,,0.00,,,,0.00,3521.82,,,-200.29,,,,,,3745.94
Uganda,2005,12453.15,1777.27,5926.68,29.08,22.56,564.76,,,,0.00,,,,5.28,5028.67,,,-284.75,,,,,,5310.28
Uganda,2010,13978.79,1404.04,6403.14,29.41,15.32,695.28,,,,0.00,,,,9.02,6346.48,,,-183.89,,,,,,5663.12
Uganda,2014,13732.08,1871.80,5268.57,27.18,10.80,670.76,,,,0.00,,,,0.79,6889.44,,,-298.53,,,,,,4559.83
Ukraine,1995,54953.57,33890.68,8735.02,109.94,207.28,248.22,,,,1361.08,,,,97.02,11191.62,,,-321.85,,,,,,8169.58
Ukraine,2000,43943.56,27137.35,5934.11,136.12,219.86,170.33,,,,750.13,,,,55.84,10829.81,,,-763.68,,,,,,5407.80
Ukraine,2005,52474.22,26327.15,6786.94,189.48,231.09,212.76,,,,1747.28,,,,710.12,17364.03,,,-461.30,,,,,,6153.61
Ukraine,2010,61363.97,30611.78,6742.19,188.96,236.64,239.72,,,,2369.17,,,,3191.89,19316.33,,,-867.39,,,,,,6076.87
Ukraine,2014,56053.44,25170.54,8134.87,193.08,241.96,326.55,,,,1984.49,,,,3225.88,18952.09,,,-1414.44,,,,,,7373.29
United Arab Emirates,1995,1296028.10,412112.55,8635.85,3.94,129.35,4138.93,,,,296242.17,,,,0.00,452489.16,,,126548.37,,,,,,4363.63
United Arab Emirates,2000,1196284.17,300069.85,8204.76,3.49,111.34,3308.79,,,,254700.13,,,,0.00,454621.19,,,178688.23,,,,,,4781.14
United Arab Emirates,2005,992980.00,187779.92,7753.28,1.98,76.26,4869.58,,,,272306.13,,,,0.00,404187.69,,,120952.98,,,,,,2805.46
United Arab Emirates,2010,672803.56,127420.46,3819.89,1.34,41.73,1907.86,,,,230395.16,,,,0.00,252052.39,,,59115.67,,,,,,1868.96
United Arab Emirates,2014,738270.42,125656.62,3171.24,1.71,38.77,1312.33,,,,256257.05,,,,0.00,278204.78,,,74980.73,,,,,,1818.43
United Kingdom,1995,498991.58,113729.57,6073.38,68.81,411.44,1349.76,,,,1001.81,,,,0.00,378986.05,,,-799.23,,,,,,4243.37
United Kingdom,2000,587733.93,141125.21,4078.23,60.24,417.78,899.82,,,,1196.40,,,,0.03,444734.34,,,-3400.27,,,,,,2700.38
United Kingdom,2005,665092.06,171546.27,3497.05,51.40,416.59,798.99,,,,2146.51,,,,0.04,491560.00,,,-3657.80,,,,,,2230.07
United Kingdom,2010,621646.78,184324.73,4035.64,57.46,405.93,959.02,,,,2409.45,,,,1.00,434656.23,,,-3780.26,,,,,,2613.23
United Kingdom,2014,647693.55,193455.73,4586.61,71.81,403.09,1145.05,,,,3005.26,,,,0.09,457222.73,,,-10576.87,,,,,,2966.65
United States,1995,782762.08,145070.14,14504.92,1163.23,7212.93,1141.78,,,,3653.69,,,,202.02,621386.86,,,-2055.56,,,,,,4986.98
United States,2000,907706.85,166640.34,13624.04,993.71,6819.08,1029.21,,,,4149.88,,,,147.26,730721.98,,,-7576.64,,,,,,4782.04
United States,2005,970026.39,199130.19,12424.66,742.45,6537.12,876.42,,,,6755.95,,,,131.91,759557.73,,,-7974.05,,,,,,4268.68
United States,2010,944554.33,206378.85,13758.74,686.54,6326.06,1061.18,,,,9694.06,,,,1017.63,723711.32,,,-10006.27,,,,,,5684.96
United States,2014,983279.87,216185.57,14972.87,626.37,6158.28,1302.45,,,,7518.40,,,,1132.80,766470.32,,,-23000.10,,,,,,6885.78
Uruguay,1995,131723.59,31695.78,10143.66,636.24,1436.97,149.02,,,,0.00,,,,0.00,91688.02,,,-1803.86,,,,,,7921.43
Uruguay,2000,160595.42,34063.56,10971.83,856.48,1763.38,154.41,,,,0.00,,,,5.69,116573.92,,,-1019.58,,,,,,8197.56
Uruguay,2005,145775.60,40872.05,14233.90,955.86,1956.63,237.66,,,,0.00,,,,113.46,91636.44,,,-1080.25,,,,,,11083.75
Uruguay,2010,226838.66,51418.52,19701.46,1510.20,2193.79,365.01,,,,0.00,,,,222.95,156153.24,,,-657.50,,,,,,15632.46
Uruguay,2014,254600.66,64248.63,21778.34,1829.10,2278.60,426.17,,,,0.00,,,,222.50,171309.77,,,-2958.59,,,,,,17244.47
Venezuela,1995,118234.94,37119.28,9884.66,206.08,4232.47,2928.02,,,,21038.68,,,,579.79,50248.13,,,-635.61,,,,,,2518.10
Venezuela,2000,107392.30,35929.53,8622.53,135.19,3727.08,2537.21,,,,20503.16,,,,437.16,42374.14,,,-474.22,,,,,,2223.07
Venezuela,2005,107460.98,32037.57,6444.65,88.86,3308.84,1482.83,,,,27170.04,,,,756.55,39598.71,,,1453.47,,,,,,1564.11
Venezuela,2010,113285.86,29167.01,5999.63,89.14,3041.43,1410.68,,,,28529.76,,,,1524.59,45996.20,,,2068.67,,,,,,1458.37
Venezuela,2014,162559.82,70150.89,6125.54,130.55,2833.40,1376.25,,,,30795.09,,,,1230.55,49332.02,,,4925.73,,,,,,1785.34
Vietnam,1995,13027.09,1767.81,4279.71,386.72,92.19,128.54,,,,265.89,,,,4.55,7265.28,,,-556.14,,,,,,3672.26
Vietnam,2000,17108.92,2588.12,4224.46,236.63,95.08,233.03,,,,460.54,,,,5.46,10404.52,,,-574.18,,,,,,3659.71
Vietnam,2005,21138.92,4019.04,4683.36,219.32,99.90,236.91,,,,1316.90,,,,16.11,11708.95,,,-605.46,,,,,,4127.22
Vietnam,2010,23828.06,5173.70,5989.70,340.50,102.29,170.25,,,,2497.33,,,,177.46,11210.17,,,-1220.31,,,,,,5376.66
Vietnam,2014,27368.14,5530.28,6847.92,430.39,101.59,170.98,,,,2328.90,,,,204.34,13740.37,,,-1283.67,,,,,,6144.96
Yemen,1995,17521.75,4712.64,4791.86,16.61,42.07,18.89,,,,3809.19,,,,0.00,7906.39,,,-3698.33,,,,,,4714.28
Yemen,2000,22433.65,4799.39,4067.44,18.47,36.09,28.30,,,,4992.20,,,,0.00,8698.57,,,-123.95,,,,,,3984.57
Yemen,2005,25707.76,4227.55,3768.66,12.48,31.32,33.54,,,,7797.57,,,,0.00,9643.48,,,270.49,,,,,,3691.32
Yemen,2010,28114.73,4138.84,3885.19,15.04,27.22,40.80,,,,9171.23,,,,0.00,10910.55,,,8.92,,,,,,3802.11
Yemen,2014,22908.59,3629.74,3792.10,17.51,24.53,50.56,,,,6699.39,,,,0.00,9001.90,,,-214.54,,,,,,3699.50
Zambia,1995,34491.08,13275.81,14518.82,1390.38,1554.99,5850.94,,,,33.14,,,,1179.58,7876.48,,,-2392.74,,,,,,5722.52
Zambia,2000,26250.61,6991.52,10478.12,1392.33,1337.57,3595.11,,,,10.05,,,,357.23,10931.49,,,-2517.80,,,,,,4153.10
Zambia,2005,26610.05,6533.98,8565.45,1175.16,1156.45,2774.94,,,,17.17,,,,860.68,11996.00,,,-1363.23,,,,,,3458.90
Zambia,2010,34678.24,6595.22,8396.64,1084.28,984.18,2717.66,,,,1.23,,,,3985.26,15867.33,,,-167.43,,,,,,3610.53
Zambia,2014,40965.41,7138.79,11969.71,1083.84,859.51,4714.09,,,,4.74,,,,4330.13,17549.26,,,-27.22,,,,,,5312.27
Zimbabwe,1995,24949.09,1349.38,5002.78,767.59,325.85,579.27,,,,384.25,,,,1580.03,17327.13,,,-694.48,,,,,,3330.07
Zimbabwe,2000,24547.93,3011.98,5174.37,1042.94,280.30,1039.10,,,,204.57,,,,90.77,16964.53,,,-898.29,,,,,,2812.03
Zimbabwe,2005,15772.61,959.19,6949.38,1013.99,246.49,1670.51,,,,336.29,,,,174.99,8077.61,,,-724.85,,,,,,4018.39
Zimbabwe,2010,19005.41,3465.18,8322.08,1122.97,207.34,2328.68,,,,489.88,,,,346.57,6939.07,,,-557.36,,,,,,4663.09
Zimbabwe,2014,18957.62,2704.44,6628.84,853.49,174.84,2017.19,,,,289.05,,,,469.50,9877.49,,,-1011.71,,,,,,3583.32
