Entity,Year,Public health expenditure as share of GDP (Lindert (1994)),Public health expenditure as share of GDP (OECD (1993)),Publicly financed current health expenditure (% GDP) (OECD.stat (2016)),General Government Health Expenditure (%GDP) (WHO (2014))
Mauritius,2006,,,,2.0475075
Mauritius,2007,,,,1.87290984
Mauritius,2008,,,,1.78295421
Mauritius,2009,,,,2.16869134
Mauritius,2010,,,,2.58258813
Mauritius,2011,,,,2.46122411
Mauritius,2012,,,,2.29270279
Mauritius,2013,,,,2.36555619
Mauritius,2014,,,,2.36468574
Mexico,1990,,,1.7481,
Mexico,1991,,,2.0422,
Mexico,1992,,,2.1547,
Mexico,1993,,,2.2406,
Mexico,1994,,,2.3373,
Mexico,1995,,,2.1302,2.13016934
Mexico,1996,,,1.9018,1.90175756
Mexico,1997,,,2.1086,2.10860616
Mexico,1998,,,2.2098,2.20977666
Mexico,1999,,,2.3017,2.39474016
Mexico,2000,,,2.1959,2.31810751
Mexico,2001,,,2.2985,2.39862085
Mexico,2002,,,2.308,2.42202735
Mexico,2003,,,2.4679,2.54127743
Mexico,2004,,,2.6286,2.6880039
Mexico,2005,,,2.5011,2.61887786
Mexico,2006,,,2.4473,2.56034516
Mexico,2007,,,2.5499,2.64237477
Mexico,2008,,,2.6373,2.76093682
Mexico,2009,,,2.8821,3.09593557
Mexico,2010,,,2.9285,3.10329567
Mexico,2011,,,2.954,3.0671313
Mexico,2012,,,3.0563,3.16097116
Mexico,2013,,,3.1736,3.2569934
Mexico,2014,,,2.9488,3.25955157
Mexico,2015,,,2.9821,
Micronesia (country),1995,,,,8.69618637
Micronesia (country),1996,,,,8.13502702
Micronesia (country),1997,,,,7.27708841
Micronesia (country),1998,,,,6.46213818
Micronesia (country),1999,,,,7.06485656
Micronesia (country),2000,,,,7.35330987
Micronesia (country),2001,,,,8.00699375
Micronesia (country),2002,,,,7.41407386
Micronesia (country),2003,,,,9.02986286
Micronesia (country),2004,,,,9.89982259
Micronesia (country),2005,,,,11.3112
Micronesia (country),2006,,,,11.03399209
Micronesia (country),2007,,,,11.13554687
Micronesia (country),2008,,,,11.6954023
Micronesia (country),2009,,,,12.1732852
Micronesia (country),2010,,,,12.61078231
Micronesia (country),2011,,,,12.53821521
Micronesia (country),2012,,,,11.58813926
Micronesia (country),2013,,,,12.08993841
Micronesia (country),2014,,,,12.43375206
Moldova,1995,,,,5.81589506
Moldova,1996,,,,6.70979738
Moldova,1997,,,,6.07502523
Moldova,1998,,,,4.32372287
Moldova,1999,,,,2.90196397
Moldova,2000,,,,3.22971286
Moldova,2001,,,,3.20753727
Moldova,2002,,,,4.04061004
Moldova,2003,,,,3.9671965
Moldova,2004,,,,4.18238012
Moldova,2005,,,,4.17613938
Moldova,2006,,,,4.71868436
Moldova,2007,,,,4.91970803
Moldova,2008,,,,5.38984775
Moldova,2009,,,,6.0594372
Moldova,2010,,,,5.62147875
Moldova,2011,,,,5.31153991
Moldova,2012,,,,5.51752278
Moldova,2013,,,,5.03134017
Moldova,2014,,,,5.30398831
Monaco,1995,,,,2.78280464
Monaco,1996,,,,2.72203158
Monaco,1997,,,,2.8387481
Monaco,1998,,,,2.76040232
Monaco,1999,,,,2.98990756
Monaco,2000,,,,2.86618724
Monaco,2001,,,,2.91177246
Monaco,2002,,,,2.9567881
Monaco,2003,,,,3.4665385
Monaco,2004,,,,3.54513005
Monaco,2005,,,,3.52893665
Monaco,2006,,,,3.36032026
Monaco,2007,,,,2.95265479
Monaco,2008,,,,3.18977759
Monaco,2009,,,,3.8011579
Monaco,2010,,,,3.89646038
Monaco,2011,,,,3.70525709
Monaco,2012,,,,3.76419501
Monaco,2013,,,,3.55496015
Monaco,2014,,,,3.84109846
Mongolia,1995,,,,2.59891791
Mongolia,1996,,,,3.03388933
Mongolia,1997,,,,3.06342556
Mongolia,1998,,,,3.48132748
Mongolia,1999,,,,3.41739995
Mongolia,2000,,,,3.82828628
Mongolia,2001,,,,3.89985284
Mongolia,2002,,,,3.45527907
Mongolia,2003,,,,2.91803129
Mongolia,2004,,,,2.92676436
Mongolia,2005,,,,2.48459122
Mongolia,2006,,,,2.39691359
Mongolia,2007,,,,2.73641224
Mongolia,2008,,,,3.18351906
Mongolia,2009,,,,2.76837271
Mongolia,2010,,,,2.65447806
Mongolia,2011,,,,2.59570626
Mongolia,2012,,,,2.2605149
Mongolia,2013,,,,2.21159453
Mongolia,2014,,,,2.62057288
Montenegro,1995,,,,5.19650592
Montenegro,1996,,,,5.19650592
Montenegro,1997,,,,5.19650592
Montenegro,1998,,,,5.19650592
Montenegro,1999,,,,5.19650592
Montenegro,2000,,,,5.19650592
Montenegro,2001,,,,5.95718477
Montenegro,2002,,,,5.88024212
Montenegro,2003,,,,6.66301135
Montenegro,2004,,,,6.23236672
Montenegro,2005,,,,6.02294002
Montenegro,2006,,,,5.61349987
Montenegro,2007,,,,4.5478217
Montenegro,2008,,,,3.99179679
Montenegro,2009,,,,3.61393065
Montenegro,2010,,,,4.17346944
Montenegro,2011,,,,4.18659029
Montenegro,2012,,,,4.47237839
Montenegro,2013,,,,3.71908824
Montenegro,2014,,,,3.66738093
Morocco,1995,,,,1.18413372
Morocco,1996,,,,1.14335155
Morocco,1997,,,,1.07339024
Morocco,1998,,,,1.17910212
Morocco,1999,,,,1.1491419
Morocco,2000,,,,1.22973785
Morocco,2001,,,,1.42775923
Morocco,2002,,,,1.37880895
Morocco,2003,,,,1.39499543
Morocco,2004,,,,1.4295298
Morocco,2005,,,,1.43892587
Morocco,2006,,,,1.71440251
Morocco,2007,,,,1.89807732
Morocco,2008,,,,1.89197177
Morocco,2009,,,,2.04639606
Morocco,2010,,,,2.06757204
Morocco,2011,,,,2.08777206
Morocco,2012,,,,2.18146636
Morocco,2013,,,,1.95774948
Morocco,2014,,,,2.00132628
Mozambique,1995,,,,3.39655618
Mozambique,1996,,,,2.59826124
Mozambique,1997,,,,2.95587394
Mozambique,1998,,,,2.96847683
Mozambique,1999,,,,3.5660975
Mozambique,2000,,,,4.31188308
Mozambique,2001,,,,3.96759611
Mozambique,2002,,,,4.48886203
Mozambique,2003,,,,4.10824098
Mozambique,2004,,,,3.52192794
Mozambique,2005,,,,4.30613507
Mozambique,2006,,,,3.95098184
Mozambique,2007,,,,3.10000509
Mozambique,2008,,,,2.6068045
Mozambique,2009,,,,2.51515994
Mozambique,2010,,,,3.01810283
Mozambique,2011,,,,2.66457773
Mozambique,2012,,,,2.77638277
Mozambique,2013,,,,3.11908763
Mozambique,2014,,,,3.93673477
Myanmar,2012,,,,0.8196291
Myanmar,2013,,,,0.82684616
Myanmar,2014,,,,1.0448998
Namibia,1995,,,,4.41365872
Namibia,1996,,,,4.7509088
Namibia,1997,,,,4.92451172
Namibia,1998,,,,4.95259665
Namibia,1999,,,,5.11174435
Namibia,2000,,,,4.21402942
Namibia,2001,,,,3.4742469
Namibia,2002,,,,3.57696867
Namibia,2003,,,,3.72233541
Namibia,2004,,,,3.20703876
Namibia,2005,,,,3.57961972
Namibia,2006,,,,3.12912009
Namibia,2007,,,,3.80077117
Namibia,2008,,,,3.89854309
Namibia,2009,,,,4.41722957
Namibia,2010,,,,4.59442937
Namibia,2011,,,,5.31576441
Namibia,2012,,,,4.85409775
Namibia,2013,,,,5.02913642
Namibia,2014,,,,5.3571377
Nauru,1995,,,,12.33493098
Nauru,1996,,,,11.59428355
Nauru,1997,,,,11.82601857
Nauru,1998,,,,12.56498453
Nauru,1999,,,,12.3379839
Nauru,2000,,,,12.54768588
Nauru,2001,,,,13.31280698
Nauru,2002,,,,14.53541811
Nauru,2003,,,,13.45467078
Nauru,2004,,,,10.64962726
Nauru,2005,,,,11.6177752
Nauru,2006,,,,12.57633671
Nauru,2007,,,,18.10282404
Nauru,2008,,,,15.60670301
Nauru,2009,,,,8.72753415
Nauru,2010,,,,8.45455182
Nauru,2011,,,,7.11055696
Nauru,2012,,,,6.52396561
Nauru,2013,,,,4.19216355
Nauru,2014,,,,2.86766633
Nepal,1995,,,,1.40737879
Nepal,1996,,,,1.42214041
Nepal,1997,,,,1.47102706
Nepal,1998,,,,2.55439609
Nepal,1999,,,,1.76323186
Nepal,2000,,,,1.35212335
Nepal,2001,,,,1.5944633
Nepal,2002,,,,1.64084097
Nepal,2003,,,,1.52768761
Nepal,2004,,,,1.59032658
Nepal,2005,,,,1.58532843
Nepal,2006,,,,2.04487497
Nepal,2007,,,,2.28312508
Nepal,2008,,,,2.7256987
Nepal,2009,,,,2.82439526
Nepal,2010,,,,2.86731707
Nepal,2011,,,,3.24209748
Nepal,2012,,,,2.4668546
Nepal,2013,,,,2.21990256
Nepal,2014,,,,2.33781912
Netherlands,1880,0,,,
Netherlands,1890,0,,,
Netherlands,1900,0,,,
Netherlands,1910,0,,,
Netherlands,1920,0,,,
Netherlands,1930,0,,,
Netherlands,1960,,1.30,,
Netherlands,1961,,1.67,,
Netherlands,1962,,2.10,,
Netherlands,1963,,2.63,,
Netherlands,1964,,2.74,,
Netherlands,1965,,3.01,,
Netherlands,1966,,3.39,,
Netherlands,1967,,3.79,,
Netherlands,1968,,4.14,,
Netherlands,1969,,4.58,,
Netherlands,1970,,5.04,,
Netherlands,1971,,4.90,,
Netherlands,1972,,4.72,3.8785,
Netherlands,1973,,4.85,3.9403,
Netherlands,1974,,5.09,4.1457,
Netherlands,1975,,5.56,4.487,
Netherlands,1976,,5.50,4.4456,
Netherlands,1977,,5.61,4.5406,
Netherlands,1978,,5.75,4.6443,
Netherlands,1979,,5.86,4.7361,
Netherlands,1980,,6.01,4.8292,
Netherlands,1981,,6.18,4.9257,
Netherlands,1982,,6.38,5.1389,
Netherlands,1983,,6.34,5.094,
Netherlands,1984,,6.13,4.8957,
Netherlands,1985,,6.02,4.8559,
Netherlands,1986,,5.89,4.7472,
Netherlands,1987,,6.12,4.8598,
Netherlands,1988,,5.95,4.7683,
Netherlands,1989,,5.84,4.9809,
Netherlands,1990,,5.82,5.0425,
Netherlands,1991,,6.08,5.2863,
Netherlands,1992,,,5.705,
Netherlands,1993,,,5.8549,
Netherlands,1994,,,5.6971,
Netherlands,1995,,,5.5508,5.2868541
Netherlands,1996,,,5.0962,4.94823422
Netherlands,1997,,,5.0553,5.07155645
Netherlands,1998,,,4.8146,4.84946705
Netherlands,1999,,,4.7221,4.72208428
Netherlands,2000,,,4.6826,4.68262134
Netherlands,2001,,,4.8947,4.89473375
Netherlands,2002,,,5.2119,5.2119207
Netherlands,2003,,,5.6274,5.62741917
Netherlands,2004,,,5.5912,5.5911587
Netherlands,2005,,,6.6689,6.66893702
Netherlands,2006,,,7.9745,7.97446453
Netherlands,2007,,,7.9805,7.98048949
Netherlands,2008,,,8.2097,8.20974143
Netherlands,2009,,,8.9015,8.90151685
Netherlands,2010,,,9.0813,9.08129607
Netherlands,2011,,,9.0859,9.08585792
Netherlands,2012,,,8.8867,9.52842158
Netherlands,2013,,,8.8651,9.61713475
Netherlands,2014,,,8.8163,9.48113273
Netherlands,2015,,,8.6876,
New Zealand,1880,0.17,,,
New Zealand,1890,0.39,,,
New Zealand,1900,0.51,,,
New Zealand,1910,0.72,,,
New Zealand,1920,1.07,,,
New Zealand,1930,1.13,,,
New Zealand,1960,,3.50,,
New Zealand,1961,,3.68,,
New Zealand,1962,,3.68,,
New Zealand,1963,,3.60,,
New Zealand,1964,,3.61,,
New Zealand,1965,,3.70,,
New Zealand,1966,,3.90,,
New Zealand,1967,,3.90,,
New Zealand,1968,,3.93,,
New Zealand,1969,,3.94,,
New Zealand,1970,,4.21,4.1552,
New Zealand,1971,,4.39,3.822,
New Zealand,1972,,4.57,3.9766,
New Zealand,1973,,4.54,3.9665,
New Zealand,1974,,5.11,4.4313,
New Zealand,1975,,5.62,4.8125,
New Zealand,1976,,5.39,4.5334,
New Zealand,1977,,5.70,4.8331,
New Zealand,1978,,6.09,5.2059,
New Zealand,1979,,6.14,5.3005,
New Zealand,1980,,6.01,5.0498,
New Zealand,1981,,6.06,5.3873,
New Zealand,1982,,5.59,5.1081,
New Zealand,1983,,5.60,5.007,
New Zealand,1984,,5.24,4.6731,
New Zealand,1985,,5.54,4.2937,
New Zealand,1986,,5.75,4.3466,
New Zealand,1987,,5.95,4.8588,
New Zealand,1988,,6.00,5.2479,
New Zealand,1989,,5.95,5.3855,
New Zealand,1990,,6.01,5.495,
New Zealand,1991,,6.00,5.8396,
New Zealand,1992,,,5.7126,
New Zealand,1993,,,5.3071,
New Zealand,1994,,,5.3749,
New Zealand,1995,,,5.3621,5.36205193
New Zealand,1996,,,5.2837,5.28370617
New Zealand,1997,,,5.4863,5.48624093
New Zealand,1998,,,5.7879,5.78790325
New Zealand,1999,,,5.7319,5.73156223
New Zealand,2000,,,5.8278,5.82783913
New Zealand,2001,,,5.792,5.79198493
New Zealand,2002,,,6.1542,6.14652049
New Zealand,2003,,,6.0492,6.0415112
New Zealand,2004,,,6.2918,6.28157711
New Zealand,2005,,,6.5921,6.57247519
New Zealand,2006,,,6.9124,6.92299577
New Zealand,2007,,,6.8563,6.88339971
New Zealand,2008,,,7.369,8.90698461
New Zealand,2009,,,7.8012,9.32301029
New Zealand,2010,,,7.7832,9.30546187
New Zealand,2011,,,7.6918,9.34287708
New Zealand,2012,,,7.7514,9.54766661
New Zealand,2013,,,7.5015,9.22655693
New Zealand,2014,,,7.47,9.08265634
New Zealand,2015,,,7.4995,
Nicaragua,1995,,,,4.17509427
Nicaragua,1996,,,,3.79461754
Nicaragua,1997,,,,2.57710124
Nicaragua,1998,,,,2.77202064
Nicaragua,1999,,,,2.43364719
Nicaragua,2000,,,,2.88110204
Nicaragua,2001,,,,2.83595012
Nicaragua,2002,,,,2.99522995
Nicaragua,2003,,,,3.46223108
Nicaragua,2004,,,,3.38949817
Nicaragua,2005,,,,3.45056744
Nicaragua,2006,,,,3.47305169
Nicaragua,2007,,,,3.79240418
Nicaragua,2008,,,,3.83004075
Nicaragua,2009,,,,4.28669744
Nicaragua,2010,,,,4.28814723
Nicaragua,2011,,,,4.08197431
Nicaragua,2012,,,,4.26016257
Nicaragua,2013,,,,4.42015266
Nicaragua,2014,,,,5.09579767
Niger,1995,,,,1.46894782
Niger,1996,,,,1.28448572
Niger,1997,,,,1.6847956
Niger,1998,,,,1.69459514
Niger,1999,,,,1.69880281
Niger,2000,,,,1.52246548
Niger,2001,,,,1.8667212
Niger,2002,,,,1.90925836
Niger,2003,,,,1.68045031
Niger,2004,,,,1.84586396
Niger,2005,,,,2.97865432
Niger,2006,,,,3.17549705
Niger,2007,,,,2.66286468
Niger,2008,,,,2.6958768
Niger,2009,,,,2.6503865
Niger,2010,,,,2.16243694
Niger,2011,,,,2.45324522
Niger,2012,,,,2.2118347
Niger,2013,,,,2.45567718
Niger,2014,,,,2.38630659
Nigeria,1995,,,,0.65814501
Nigeria,1996,,,,0.60048092
Nigeria,1997,,,,0.71761229
Nigeria,1998,,,,0.90662619
Nigeria,1999,,,,0.98366615
Nigeria,2000,,,,0.94928603
Nigeria,2001,,,,1.01770735
Nigeria,2002,,,,0.62200434
Nigeria,2003,,,,0.90666178
Nigeria,2004,,,,1.41476044
Nigeria,2005,,,,1.19778681
Nigeria,2006,,,,1.20460086
Nigeria,2007,,,,1.47272881
Nigeria,2008,,,,1.4700594
Nigeria,2009,,,,1.32467002
Nigeria,2010,,,,0.9085807
Nigeria,2011,,,,1.15161125
Nigeria,2012,,,,1.03316953
Nigeria,2013,,,,0.88262726
Nigeria,2014,,,,0.92253513
Niue,1995,,,,7.86216552
Niue,1996,,,,9.21065806
Niue,1997,,,,9.28728332
Niue,1998,,,,8.08799183
Niue,1999,,,,8.15375655
Niue,2000,,,,7.80226325
Niue,2001,,,,38.00119689
Niue,2002,,,,10.95384615
Niue,2003,,,,9.97101449
Niue,2004,,,,11.77989893
Niue,2005,,,,8.11311054
Niue,2006,,,,38.90374332
Niue,2007,,,,11.99031264
Niue,2008,,,,14
Niue,2009,,,,14.38823107
Niue,2010,,,,8.20114749
Niue,2011,,,,10.52734375
Niue,2012,,,,6.87220336
Niue,2013,,,,7.0739305
Niue,2014,,,,7.32410003
Norway,1880,0.22,,,
Norway,1890,0.11,,,
Norway,1900,0.28,,,
Norway,1910,0.27,,,
Norway,1920,0.31,,,
Norway,1930,0.64,,,
Norway,1960,,2.57,,
Norway,1961,,2.72,,
Norway,1962,,2.91,,
Norway,1963,,3.10,,
Norway,1964,,3.20,,
Norway,1965,,3.19,,
Norway,1966,,3.57,,
Norway,1967,,3.68,,
Norway,1968,,3.82,,
Norway,1969,,4.11,,
Norway,1970,,4.59,3.625,
Norway,1971,,4.81,3.7902,
Norway,1972,,5.65,4.3974,
Norway,1973,,5.79,4.5002,
Norway,1974,,5.84,4.5126,
Norway,1975,,6.44,4.9753,
Norway,1976,,6.67,5.1678,
Norway,1977,,6.98,5.442,
Norway,1978,,7.12,5.6038,
Norway,1979,,7.00,5.2816,
Norway,1980,,6.54,5.3117,
Norway,1981,,6.47,5.3461,
Norway,1982,,6.57,5.4691,
Norway,1983,,6.68,5.6274,
Norway,1984,,6.34,5.3269,
Norway,1985,,6.22,5.2747,
Norway,1986,,6.81,5.6907,
Norway,1987,,7.22,5.9924,
Norway,1988,,7.36,5.8875,
Norway,1989,,7.12,5.6315,
Norway,1990,,7.09,5.8579,
Norway,1991,,7.32,6.1738,
Norway,1992,,,6.3418,
Norway,1993,,,6.2245,
Norway,1994,,,6.1548,
Norway,1995,,,6.0985,6.49985879
Norway,1996,,,6.0182,6.45280883
Norway,1997,,,6.2438,6.69711668
Norway,1998,,,6.8548,7.45488707
Norway,1999,,,6.8824,7.54760405
Norway,2000,,,6.297,6.82382819
Norway,2001,,,6.6411,7.22396035
Norway,2002,,,7.4642,8.02720966
Norway,2003,,,7.6671,8.24746405
Norway,2004,,,7.3274,7.88886077
Norway,2005,,,6.9205,7.43028203
Norway,2006,,,6.5976,7.06288776
Norway,2007,,,6.7395,7.21922701
Norway,2008,,,6.7022,7.09117288
Norway,2009,,,7.6582,8.02173768
Norway,2010,,,7.5453,7.83922869
Norway,2011,,,7.4216,7.71723079
Norway,2012,,,7.4368,7.773856
Norway,2013,,,7.5924,8.00541429
Norway,2014,,,7.8783,8.3096182
Norway,2015,,,8.4683,
Oman,1995,,,,3.06004361
Oman,1996,,,,2.98445668
Oman,1997,,,,2.78256976
Oman,1998,,,,3.0185177
Oman,1999,,,,2.89374636
Oman,2000,,,,2.51203413
Oman,2001,,,,2.52896361
Oman,2002,,,,2.65475072
Oman,2003,,,,2.62946579
Oman,2004,,,,2.43756173
Oman,2005,,,,2.13034788
Oman,2006,,,,1.86459776
Oman,2007,,,,1.96828933
Oman,2008,,,,1.58630081
Oman,2009,,,,2.30073733
Oman,2010,,,,2.26972904
Oman,2011,,,,2.03956652
Oman,2012,,,,2.07995677
Oman,2013,,,,2.40857382
Oman,2014,,,,3.19022858
Pakistan,1995,,,,0.65550925
Pakistan,1996,,,,0.71534393
Pakistan,1997,,,,0.65556697
Pakistan,1998,,,,0.5714069
Pakistan,1999,,,,0.55473074
Pakistan,2000,,,,0.60860242
Pakistan,2001,,,,0.55152418
Pakistan,2002,,,,0.80938608
Pakistan,2003,,,,0.64832092
Pakistan,2004,,,,0.67730099
Pakistan,2005,,,,0.68591828
Pakistan,2006,,,,0.7887748
Pakistan,2007,,,,0.79883224
Pakistan,2008,,,,0.83923589
Pakistan,2009,,,,0.80290353
Pakistan,2010,,,,0.95423447
Pakistan,2011,,,,0.9197683
Pakistan,2012,,,,1.01846302
Pakistan,2013,,,,0.99433081
Pakistan,2014,,,,0.91881147
Palau,1995,,,,8.65019011
Palau,1996,,,,8.769107
Palau,1997,,,,8.39054157
Palau,1998,,,,7.07424594
Palau,1999,,,,7.62432345
Palau,2000,,,,6.370625
Palau,2001,,,,6.18511905
Palau,2002,,,,5.94852071
Palau,2003,,,,6.09425287
Palau,2004,,,,6.49067358
Palau,2005,,,,5.89563107
Palau,2006,,,,6.34210526
Palau,2007,,,,6.55976415
Palau,2008,,,,6.54084507
Palau,2009,,,,6.61464646
Palau,2010,,,,7.64111675
Palau,2011,,,,6.5483871
Palau,2012,,,,6.73922414
Palau,2013,,,,6.59918699
Palau,2014,,,,6.53197026
Panama,1995,,,,5.24658175
Panama,1996,,,,4.62878536
Panama,1997,,,,4.87504958
Panama,1998,,,,4.72718957
Panama,1999,,,,4.54335169
Panama,2000,,,,5.28462631
Panama,2001,,,,5.17975863
Panama,2002,,,,5.54414784
Panama,2003,,,,5.04670151
Panama,2004,,,,5.68857419
Panama,2005,,,,5.20540327
Panama,2006,,,,4.7207796
Panama,2007,,,,4.04887818
Panama,2008,,,,4.66645234
Panama,2009,,,,5.63276516
Panama,2010,,,,5.65002185
Panama,2011,,,,5.08973241
Panama,2012,,,,4.9715198
Panama,2013,,,,5.80401003
Panama,2014,,,,5.87836609
Papua New Guinea,1995,,,,2.44953775
Papua New Guinea,1996,,,,2.58570621
Papua New Guinea,1997,,,,2.979204
Papua New Guinea,1998,,,,3.16658124
Papua New Guinea,1999,,,,3.37324422
Papua New Guinea,2000,,,,3.2561627
Papua New Guinea,2001,,,,5.89505579
Papua New Guinea,2002,,,,6.71672844
Papua New Guinea,2003,,,,6.02492071
Papua New Guinea,2004,,,,7.60145627
Papua New Guinea,2005,,,,5.47058434
Papua New Guinea,2006,,,,5.05912292
Papua New Guinea,2007,,,,3.12384321
Papua New Guinea,2008,,,,3.07541318
Papua New Guinea,2009,,,,3.22088129
Papua New Guinea,2010,,,,3.18341092
Papua New Guinea,2011,,,,4.04134722
Papua New Guinea,2012,,,,3.65327954
Papua New Guinea,2013,,,,3.90600381
Papua New Guinea,2014,,,,3.46554272
Paraguay,1995,,,,2.13002367
Paraguay,1996,,,,2.39565542
Paraguay,1997,,,,2.4280813
Paraguay,1998,,,,2.82104529
Paraguay,1999,,,,3.03093909
Paraguay,2000,,,,3.23062815
Paraguay,2001,,,,2.65411195
Paraguay,2002,,,,2.16010372
Paraguay,2003,,,,1.94949197
Paraguay,2004,,,,2.03157067
Paraguay,2005,,,,2.35519736
Paraguay,2006,,,,2.61001499
Paraguay,2007,,,,2.69218657
Paraguay,2008,,,,2.71307573
Paraguay,2009,,,,3.49868063
Paraguay,2010,,,,3.36090276
Paraguay,2011,,,,3.76591917
Paraguay,2012,,,,4.59860124
Paraguay,2013,,,,4.78125912
Paraguay,2014,,,,4.50224038
Peru,1995,,,,2.40005355
Peru,1996,,,,2.4394219
Peru,1997,,,,2.26632789
Peru,1998,,,,2.57191315
Peru,1999,,,,2.8299163
Peru,2000,,,,2.72083151
Peru,2001,,,,2.83143959
Peru,2002,,,,2.82570562
Peru,2003,,,,2.69086215
Peru,2004,,,,2.54376135
Peru,2005,,,,2.69389613
Peru,2006,,,,2.39214585
Peru,2007,,,,2.41462309
Peru,2008,,,,2.45203378
Peru,2009,,,,2.98344443
Peru,2010,,,,2.79428723
Peru,2011,,,,2.62414031
Peru,2012,,,,2.84664765
Peru,2013,,,,3.04510367
Peru,2014,,,,3.31875118
Philippines,1995,,,,1.36365683
Philippines,1996,,,,1.45142413
Philippines,1997,,,,1.55810772
Philippines,1998,,,,1.3732069
Philippines,1999,,,,1.42835579
Philippines,2000,,,,1.52676137
Philippines,2001,,,,1.32444308
Philippines,2002,,,,1.11664234
Philippines,2003,,,,1.30620057
Philippines,2004,,,,1.30313144
Philippines,2005,,,,1.50164859
Philippines,2006,,,,1.45218711
Philippines,2007,,,,1.36782652
Philippines,2008,,,,1.33274562
Philippines,2009,,,,1.54867658
Philippines,2010,,,,1.57369151
Philippines,2011,,,,1.30636297
Philippines,2012,,,,1.38625636
Philippines,2013,,,,1.44921705
Philippines,2014,,,,1.61468522
Poland,1990,,,3.9407,
Poland,1991,,,4.1797,
Poland,1992,,,4.2639,
Poland,1993,,,3.9289,
Poland,1994,,,3.6323,
Poland,1995,,,3.6187,3.90503738
Poland,1996,,,3.8711,4.22473807
Poland,1997,,,3.529,3.98374841
Poland,1998,,,3.4631,3.82860697
Poland,1999,,,3.829,4.03290127
Poland,2000,,,3.6494,3.85271314
Poland,2001,,,4.0331,4.21039136
Poland,2002,,,4.2823,4.49780846
Poland,2003,,,4.1233,4.34988711
Poland,2004,,,4,4.24200124
Poland,2005,,,4.0106,4.29890204
Poland,2006,,,4.0338,4.31321008
Poland,2007,,,4.1183,4.42036017
Poland,2008,,,4.5989,4.93531592
Poland,2009,,,4.7555,5.09718111
Poland,2010,,,4.6019,4.90280743
Poland,2011,,,4.4188,4.71035577
Poland,2012,,,4.3444,4.57751554
Poland,2013,,,4.5808,4.53442479
Poland,2014,,,4.598,4.5076396
Poland,2015,,,4.5298,
Portugal,1960,,0.92,,
Portugal,1961,,0.95,,
Portugal,1962,,0.96,,
Portugal,1963,,1.18,,
Portugal,1964,,0.96,,
Portugal,1965,,1.21,,
Portugal,1966,,1.30,,
Portugal,1967,,1.33,,
Portugal,1968,,1.70,,
Portugal,1969,,1.97,,
Portugal,1970,,1.86,1.2762,
Portugal,1971,,1.95,1.4192,
Portugal,1972,,2.46,1.7391,
Portugal,1973,,2.69,1.9017,
Portugal,1974,,2.93,2.1275,
Portugal,1975,,3.78,2.7194,
Portugal,1976,,4.08,2.9741,
Portugal,1977,,3.93,2.8002,
Portugal,1978,,3.92,2.7483,
Portugal,1979,,3.93,2.7634,
Portugal,1980,,4.25,2.9885,
Portugal,1981,,4.54,3.0981,
Portugal,1982,,3.94,2.7403,
Portugal,1983,,3.47,2.4194,
Portugal,1984,,3.44,2.4538,
Portugal,1985,,3.93,2.8734,
Portugal,1986,,3.81,3.0529,
Portugal,1987,,3.91,2.9165,
Portugal,1988,,4.11,3.1848,
Portugal,1989,,4.15,2.9025,
Portugal,1990,,4.10,3.5803,
Portugal,1991,,,3.7495,
Portugal,1992,,,3.6267,
Portugal,1993,,,4.0074,
Portugal,1994,,,3.9916,
Portugal,1995,,,4.4256,4.64583944
Portugal,1996,,,4.776,5.02497048
Portugal,1997,,,4.7744,5.04998686
Portugal,1998,,,4.8734,5.11745726
Portugal,1999,,,5.0671,5.31793091
Portugal,2000,,,5.9015,6.19327948
Portugal,2001,,,5.9512,6.23314425
Portugal,2002,,,6.2121,6.46240519
Portugal,2003,,,6.3205,6.5642957
Portugal,2004,,,6.6017,6.89340008
Portugal,2005,,,6.7232,6.98992894
Portugal,2006,,,6.3161,6.5834602
Portugal,2007,,,6.2293,6.50671263
Portugal,2008,,,6.3957,6.67403728
Portugal,2009,,,6.9074,7.16052145
Portugal,2010,,,6.8509,7.17149244
Portugal,2011,,,6.4521,6.70065608
Portugal,2012,,,6.1296,6.23891139
Portugal,2013,,,6.0829,6.23215544
Portugal,2014,,,5.9508,6.15818911
Portugal,2015,,,5.8473,
Qatar,1995,,,,2.32041051
Qatar,1996,,,,2.49425848
Qatar,1997,,,,2.14754465
Qatar,1998,,,,2.26219926
Qatar,1999,,,,1.95162417
Qatar,2000,,,,1.57473007
Qatar,2001,,,,1.92199248
Qatar,2002,,,,2.03592305
Qatar,2003,,,,3.48808704
Qatar,2004,,,,3.03690401
Qatar,2005,,,,2.53515165
Qatar,2006,,,,2.17208218
Qatar,2007,,,,1.94332117
Qatar,2008,,,,1.57418264
Qatar,2009,,,,2.06552792
Qatar,2010,,,,1.62083086
Qatar,2011,,,,1.50593141
Qatar,2012,,,,1.83147767
Qatar,2013,,,,1.85480107
Qatar,2014,,,,1.87539141
Romania,1995,,,,2.39777711
Romania,1996,,,,2.3537192
Romania,1997,,,,3.30879634
Romania,1998,,,,2.83529131
Romania,1999,,,,3.34416017
Romania,2000,,,,3.51369973
Romania,2001,,,,3.53419163
Romania,2002,,,,3.75783267
Romania,2003,,,,4.49338427
Romania,2004,,,,4.0521396
Romania,2005,,,,4.39872381
