Entity,Year,Total tax (% of GDP) (OECD (2018)),"Taxes on income, profits, and capital gains (% of GDP) (OECD (2018))",Social security contributions (SSC) (% of GDP) (OECD (2018),Taxes on payroll and workforce (% of GDP) (OECD (2018)),Taxes on property (% of GDP) (OECD (2018)),Taxes on goods and services (% of GDP) (OECD (2018)),Other tax (% of GDP) (OECD (2018))
Norway,2016,37.98423,,,,,,
OECD - Average,1990,31.92826,,,,,,
OECD - Average,1991,32.43908,,,,,,
OECD - Average,1992,32.68884,,,,,,
OECD - Average,1993,33.08584,,,,,,
OECD - Average,1994,33.03445,,,,,,
OECD - Average,1995,33.26204,,,,,,
OECD - Average,1996,33.56273,,,,,,
OECD - Average,1997,33.51794,,,,,,
OECD - Average,1998,33.66800,,,,,,
OECD - Average,1999,33.88042,,,,,,
OECD - Average,2000,33.90503,,,,,,
OECD - Average,2001,33.41443,,,,,,
OECD - Average,2002,33.15858,,,,,,
OECD - Average,2003,33.08032,,,,,,
OECD - Average,2004,33.01072,,,,,,
OECD - Average,2005,33.49099,,,,,,
OECD - Average,2006,33.61432,,,,,,
OECD - Average,2007,33.68150,,,,,,
OECD - Average,2008,33.04752,,,,,,
OECD - Average,2009,32.30545,,,,,,
OECD - Average,2010,32.45067,,,,,,
OECD - Average,2011,32.81642,,,,,,
OECD - Average,2012,33.29628,,,,,,
OECD - Average,2013,33.60710,,,,,,
OECD - Average,2014,33.89968,,,,,,
OECD - Average,2015,33.98651,,,,,,
OECD - Average,2016,34.25800,,,,,,
Panama,1990,15.85293,,,,,,
Panama,1991,16.48287,,,,,,
Panama,1992,16.16379,,,,,,
Panama,1993,17.34129,,,,,,
Panama,1994,17.48152,,,,,,
Panama,1995,18.44624,,,,,,
Panama,1996,16.37912,,,,,,
Panama,1997,16.13128,,,,,,
Panama,1998,15.54709,,,,,,
Panama,1999,16.32307,,,,,,
Panama,2000,15.87073,,,,,,
Panama,2001,14.75544,,,,,,
Panama,2002,14.42604,,,,,,
Panama,2003,14.12917,,,,,,
Panama,2004,13.90683,,,,,,
Panama,2005,13.78288,,,,,,
Panama,2006,15.15192,,,,,,
Panama,2007,15.73581,,,,,,
Panama,2008,15.94958,,,,,,
Panama,2009,15.76690,,,,,,
Panama,2010,16.65052,,,,,,
Panama,2011,16.48233,,,,,,
Panama,2012,16.82067,,,,,,
Panama,2013,17.05548,,,,,,
Panama,2014,15.74304,,,,,,
Panama,2015,15.85989,,,,,,
Panama,2016,16.57296,,,,,,
Paraguay,1990,5.78477,,,,,,
Paraguay,1991,4.81368,,,,,,
Paraguay,1992,6.53736,,,,,,
Paraguay,1993,8.85076,,,,,,
Paraguay,1994,10.62947,,,,,,
Paraguay,1995,12.10087,,,,,,
Paraguay,1996,11.35264,,,,,,
Paraguay,1997,11.35081,,,,,,
Paraguay,1998,11.09148,,,,,,
Paraguay,1999,12.37669,,,,,,
Paraguay,2000,12.55490,,,,,,
Paraguay,2001,11.92434,,,,,,
Paraguay,2002,10.81380,,,,,,
Paraguay,2003,11.58672,,,,,,
Paraguay,2004,13.13666,,,,,,
Paraguay,2005,13.77632,,,,,,
Paraguay,2006,14.17555,,,,,,
Paraguay,2007,13.92731,,,,,,
Paraguay,2008,14.55335,,,,,,
Paraguay,2009,16.08376,,,,,,
Paraguay,2010,16.47211,,,,,,
Paraguay,2011,16.85026,,,,,,
Paraguay,2012,17.69875,,,,,,
Paraguay,2013,16.41225,,,,,,
Paraguay,2014,17.76002,,,,,,
Paraguay,2015,17.90904,,,,,,
Paraguay,2016,17.52708,,,,,,
Peru,1990,12.11718,,,,,,
Peru,1991,13.39122,,,,,,
Peru,1992,14.51867,,,,,,
Peru,1993,14.49556,,,,,,
Peru,1994,15.38369,,,,,,
Peru,1995,15.76263,,,,,,
Peru,1996,16.21705,,,,,,
Peru,1997,16.59470,,,,,,
Peru,1998,16.49398,,,,,,
Peru,1999,15.07729,,,,,,
Peru,2000,14.60430,,,,,,
Peru,2001,16.84568,,,,,,
Peru,2002,14.79091,,,,,,
Peru,2003,15.51901,,,,,,
Peru,2004,15.70976,,,,,,
Peru,2005,16.42215,,,,,,
Peru,2006,17.93733,,,,,,
Peru,2007,18.44289,,,,,,
Peru,2008,18.75934,,,,,,
Peru,2009,16.91589,,,,,,
Peru,2010,17.79860,,,,,,
Peru,2011,18.64931,,,,,,
Peru,2012,19.33327,,,,,,
Peru,2013,19.21559,,,,,,
Peru,2014,19.00601,,,,,,
Peru,2015,17.24386,,,,,,
Peru,2016,16.05034,,,,,,
Philippines,1994,15.84967,,,,,,
Philippines,1995,16.22351,,,,,,
Philippines,1996,16.69005,,,,,,
Philippines,1997,16.66134,,,,,,
Philippines,1998,15.52789,,,,,,
Philippines,1999,15.78076,,,,,,
Philippines,2000,15.76063,,,,,,
Philippines,2001,15.61650,,,,,,
Philippines,2002,14.97851,,,,,,
Philippines,2003,15.02059,,,,,,
Philippines,2004,14.57391,,,,,,
Philippines,2005,15.21024,,,,,,
Philippines,2006,16.46069,,,,,,
Philippines,2007,16.27215,,,,,,
Philippines,2008,16.24426,,,,,,
Philippines,2009,15.01778,,,,,,
Philippines,2010,14.78060,,,,,,
Philippines,2011,15.13697,,,,,,
Philippines,2012,15.80619,,,,,,
Philippines,2013,16.19461,,,,,,
Philippines,2014,16.69877,,,,,,
Philippines,2015,16.99924,,,,,,
Poland,1991,34.02750,,,,,,
Poland,1992,36.17832,,,,,,
Poland,1993,39.21737,,,,,,
Poland,1994,36.43831,,,,,,
Poland,1995,37.73641,,,,,,
Poland,1996,36.61200,,,,,,
Poland,1997,36.11361,,,,,,
Poland,1998,35.32783,,,,,,
Poland,1999,35.02058,,,,,,
Poland,2000,32.93554,,,,,,
Poland,2001,32.89516,,,,,,
Poland,2002,33.03408,,,,,,
Poland,2003,32.48957,,,,,,
Poland,2004,31.91868,,,,,,
Poland,2005,32.97744,,,,,,
Poland,2006,33.61142,,,,,,
Poland,2007,34.61808,,,,,,
Poland,2008,34.14451,,,,,,
Poland,2009,31.21028,,,,,,
Poland,2010,31.41527,,,,,,
Poland,2011,31.84969,,,,,,
Poland,2012,32.07724,,,,,,
Poland,2013,31.94384,,,,,,
Poland,2014,31.98405,,,,,,
Poland,2015,32.44001,,,,,,
Poland,2016,33.56308,,,,,,
Portugal,1990,26.48349,,,,,,
Portugal,1991,27.52737,,,,,,
Portugal,1992,29.45155,,,,,,
Portugal,1993,28.02630,,,,,,
Portugal,1994,28.80163,,,,,,
Portugal,1995,29.27762,,,,,,
Portugal,1996,29.95735,,,,,,
Portugal,1997,29.92113,,,,,,
Portugal,1998,30.17510,,,,,,
Portugal,1999,30.95847,,,,,,
Portugal,2000,31.04954,,,,,,
Portugal,2001,30.82085,,,,,,
Portugal,2002,31.24712,,,,,,
Portugal,2003,31.33922,,,,,,
Portugal,2004,30.14955,,,,,,
Portugal,2005,30.80743,,,,,,
Portugal,2006,31.33131,,,,,,
Portugal,2007,31.81724,,,,,,
Portugal,2008,31.72988,,,,,,
Portugal,2009,29.91411,,,,,,
Portugal,2010,30.40493,,,,,,
Portugal,2011,32.32889,,,,,,
Portugal,2012,31.77946,,,,,,
Portugal,2013,34.07261,,,,,,
Portugal,2014,34.25531,,,,,,
Portugal,2015,34.55770,,,,,,
Portugal,2016,34.37994,,,,,,
Rwanda,1996,9.84702,,,,,,
Rwanda,1997,10.29193,,,,,,
Rwanda,1998,10.77589,,,,,,
Rwanda,1999,10.77077,,,,,,
Rwanda,2000,10.19366,,,,,,
Rwanda,2001,11.25062,,,,,,
Rwanda,2002,12.42789,,,,,,
Rwanda,2003,12.20273,,,,,,
Rwanda,2004,12.06586,,,,,,
Rwanda,2005,12.12540,,,,,,
Rwanda,2006,11.86845,,,,,,
Rwanda,2007,12.22921,,,,,,
Rwanda,2008,13.28054,,,,,,
Rwanda,2009,12.75563,,,,,,
Rwanda,2010,13.08952,,,,,,
Rwanda,2011,13.79109,,,,,,
Rwanda,2012,14.36244,,,,,,
Rwanda,2013,15.42215,,,,,,
Rwanda,2014,15.83523,,,,,,
Rwanda,2015,16.67306,,,,,,
Senegal,1997,15.31035,,,,,,
Senegal,1998,15.40204,,,,,,
Senegal,1999,16.14203,,,,,,
Senegal,2000,16.78673,,,,,,
Senegal,2001,16.81887,,,,,,
Senegal,2002,17.65032,,,,,,
Senegal,2003,17.73271,,,,,,
Senegal,2004,18.18544,,,,,,
Senegal,2005,19.31876,,,,,,
Senegal,2006,19.66469,,,,,,
Senegal,2007,20.07404,,,,,,
Senegal,2008,19.01808,,,,,,
Senegal,2009,18.87872,,,,,,
Senegal,2010,19.80707,,,,,,
Senegal,2011,19.85086,,,,,,
Senegal,2012,19.54083,,,,,,
Senegal,2013,19.27876,,,,,,
Senegal,2014,20.57758,,,,,,
Senegal,2015,20.84185,,,,,,
Singapore,2000,15.51105,,,,,,
Singapore,2001,15.10995,,,,,,
Singapore,2002,13.06112,,,,,,
Singapore,2003,12.72316,,,,,,
Singapore,2004,12.33079,,,,,,
Singapore,2005,12.11209,,,,,,
Singapore,2006,12.27534,,,,,,
Singapore,2007,13.50427,,,,,,
Singapore,2008,13.86453,,,,,,
Singapore,2009,13.08389,,,,,,
Singapore,2010,12.98175,,,,,,
Singapore,2011,13.29180,,,,,,
Singapore,2012,13.86918,,,,,,
Singapore,2013,13.51158,,,,,,
Singapore,2014,13.85843,,,,,,
Singapore,2015,13.63574,,,,,,
Slovakia,1995,39.56236,,,,,,
Slovakia,1996,38.64175,,,,,,
Slovakia,1997,36.46685,,,,,,
Slovakia,1998,36.05747,,,,,,
Slovakia,1999,34.81572,,,,,,
Slovakia,2000,33.62607,,,,,,
Slovakia,2001,32.68860,,,,,,
Slovakia,2002,32.80558,,,,,,
Slovakia,2003,32.53500,,,,,,
Slovakia,2004,31.50629,,,,,,
Slovakia,2005,31.26312,,,,,,
Slovakia,2006,29.30694,,,,,,
Slovakia,2007,29.20857,,,,,,
Slovakia,2008,29.04473,,,,,,
Slovakia,2009,28.86691,,,,,,
Slovakia,2010,28.07509,,,,,,
Slovakia,2011,28.61949,,,,,,
Slovakia,2012,28.33744,,,,,,
Slovakia,2013,30.23517,,,,,,
Slovakia,2014,31.18091,,,,,,
Slovakia,2015,32.30774,,,,,,
Slovakia,2016,32.73491,,,,,,
Slovenia,1995,38.36024,,,,,,
Slovenia,1996,37.23803,,,,,,
Slovenia,1997,36.14494,,,,,,
Slovenia,1998,36.92444,,,,,,
Slovenia,1999,37.28667,,,,,,
Slovenia,2000,36.62868,,,,,,
Slovenia,2001,36.82192,,,,,,
Slovenia,2002,37.16237,,,,,,
Slovenia,2003,37.33512,,,,,,
Slovenia,2004,37.43215,,,,,,
Slovenia,2005,37.95266,,,,,,
Slovenia,2006,37.64627,,,,,,
Slovenia,2007,37.06622,,,,,,
Slovenia,2008,36.38771,,,,,,
Slovenia,2009,36.21153,,,,,,
Slovenia,2010,36.89758,,,,,,
Slovenia,2011,36.47496,,,,,,
Slovenia,2012,36.87186,,,,,,
Slovenia,2013,36.74927,,,,,,
Slovenia,2014,36.46322,,,,,,
Slovenia,2015,36.56663,,,,,,
Slovenia,2016,36.97865,,,,,,
South Africa,1990,23.86705,,,,,,
South Africa,1991,22.53592,,,,,,
South Africa,1992,21.19505,,,,,,
South Africa,1993,21.24682,,,,,,
South Africa,1994,21.73765,,,,,,
South Africa,1995,21.62201,,,,,,
South Africa,1996,22.24870,,,,,,
South Africa,1997,22.55049,,,,,,
South Africa,1998,23.51543,,,,,,
South Africa,1999,23.45277,,,,,,
South Africa,2000,22.35661,,,,,,
South Africa,2001,23.66992,,,,,,
South Africa,2002,23.11958,,,,,,
South Africa,2003,23.28628,,,,,,
South Africa,2004,23.35941,,,,,,
South Africa,2005,25.16127,,,,,,
South Africa,2006,27.14900,,,,,,
South Africa,2007,27.53581,,,,,,
South Africa,2008,27.65930,,,,,,
South Africa,2009,25.68679,,,,,,
South Africa,2010,25.55727,,,,,,
South Africa,2011,26.25975,,,,,,
South Africa,2012,26.73283,,,,,,
South Africa,2013,27.34774,,,,,,
South Africa,2014,27.83819,,,,,,
South Africa,2015,28.97533,,,,,,
South Korea,1990,18.84641,,,,,,
South Korea,1991,18.53972,,,,,,
South Korea,1992,18.44626,,,,,,
South Korea,1993,18.77142,,,,,,
South Korea,1994,18.89644,,,,,,
South Korea,1995,19.11825,,,,,,
South Korea,1996,19.74995,,,,,,
South Korea,1997,19.40533,,,,,,
South Korea,1998,19.41480,,,,,,
South Korea,1999,19.72012,,,,,,
South Korea,2000,21.45754,,,,,,
South Korea,2001,21.78243,,,,,,
South Korea,2002,21.94953,,,,,,
South Korea,2003,22.70841,,,,,,
South Korea,2004,21.96081,,,,,,
South Korea,2005,22.54247,,,,,,
South Korea,2006,23.55892,,,,,,
South Korea,2007,24.78496,,,,,,
South Korea,2008,24.64490,,,,,,
South Korea,2009,23.76011,,,,,,
South Korea,2010,23.39099,,,,,,
South Korea,2011,24.15544,,,,,,
South Korea,2012,24.78016,,,,,,
South Korea,2013,24.29837,,,,,,
South Korea,2014,24.59008,,,,,,
South Korea,2015,25.16163,,,,,,
South Korea,2016,26.30674,,,,,,
Spain,1990,31.62326,,,,,,
Spain,1991,31.89498,,,,,,
Spain,1992,32.90035,,,,,,
Spain,1993,31.95191,,,,,,
Spain,1994,31.98453,,,,,,
Spain,1995,31.27638,,,,,,
Spain,1996,31.65482,,,,,,
Spain,1997,31.92266,,,,,,
Spain,1998,32.54825,,,,,,
Spain,1999,33.07735,,,,,,
Spain,2000,33.22863,,,,,,
Spain,2001,32.83800,,,,,,
Spain,2002,33.22661,,,,,,
Spain,2003,33.11789,,,,,,
Spain,2004,34.09928,,,,,,
Spain,2005,35.14291,,,,,,
Spain,2006,35.93158,,,,,,
Spain,2007,36.35756,,,,,,
Spain,2008,32.10552,,,,,,
Spain,2009,29.70833,,,,,,
Spain,2010,31.21139,,,,,,
Spain,2011,31.17582,,,,,,
Spain,2012,32.23760,,,,,,
Spain,2013,33.13170,,,,,,
Spain,2014,33.73554,,,,,,
Spain,2015,33.81004,,,,,,
Spain,2016,33.48285,,,,,,
Swaziland,1995,10.41194,,,,,,
Swaziland,1996,10.59671,,,,,,
Swaziland,1997,10.50337,,,,,,
Swaziland,1998,10.65419,,,,,,
Swaziland,1999,11.30568,,,,,,
Swaziland,2000,10.45317,,,,,,
Swaziland,2001,10.41612,,,,,,
Swaziland,2002,10.75408,,,,,,
Swaziland,2003,11.62792,,,,,,
Swaziland,2004,11.24553,,,,,,
Swaziland,2005,11.70879,,,,,,
Swaziland,2006,11.82241,,,,,,
Swaziland,2007,11.95115,,,,,,
Swaziland,2008,13.06220,,,,,,
Swaziland,2009,12.97498,,,,,,
Swaziland,2010,13.97225,,,,,,
Swaziland,2011,14.33407,,,,,,
Swaziland,2012,13.57521,,,,,,
Swaziland,2013,14.69714,,,,,,
Swaziland,2014,15.25558,,,,,,
Swaziland,2015,15.28407,,,,,,
Sweden,1990,49.47455,,,,,,
Sweden,1991,47.52420,,,,,,
Sweden,1992,45.04298,,,,,,
Sweden,1993,44.35709,,,,,,
Sweden,1994,44.59254,,,,,,
Sweden,1995,45.61857,,,,,,
Sweden,1996,47.37221,,,,,,
Sweden,1997,48.32129,,,,,,
Sweden,1998,48.42570,,,,,,
Sweden,1999,48.80372,,,,,,
Sweden,2000,48.98447,,,,,,
Sweden,2001,46.83225,,,,,,
Sweden,2002,45.17403,,,,,,
Sweden,2003,45.46041,,,,,,
Sweden,2004,45.64899,,,,,,
Sweden,2005,46.61177,,,,,,
Sweden,2006,45.96671,,,,,,
Sweden,2007,44.96891,,,,,,
Sweden,2008,44.00475,,,,,,
Sweden,2009,44.08418,,,,,,
Sweden,2010,43.22287,,,,,,
Sweden,2011,42.50726,,,,,,
Sweden,2012,42.55988,,,,,,
Sweden,2013,42.91349,,,,,,
Sweden,2014,42.58186,,,,,,
Sweden,2015,43.27995,,,,,,
Sweden,2016,44.12043,,,,,,
Switzerland,1990,23.60165,,,,,,
Switzerland,1991,23.45270,,,,,,
Switzerland,1992,23.90751,,,,,,
Switzerland,1993,24.41172,,,,,,
Switzerland,1994,24.80836,,,,,,
Switzerland,1995,25.41467,,,,,,
Switzerland,1996,25.86867,,,,,,
Switzerland,1997,25.45250,,,,,,
Switzerland,1998,26.18064,,,,,,
Switzerland,1999,26.36013,,,,,,
Switzerland,2000,27.44588,,,,,,
Switzerland,2001,26.84381,,,,,,
Switzerland,2002,27.45581,,,,,,
Switzerland,2003,26.80082,,,,,,
Switzerland,2004,26.45032,,,,,,
Switzerland,2005,26.54078,,,,,,
Switzerland,2006,26.36796,,,,,,
Switzerland,2007,26.13067,,,,,,
Switzerland,2008,26.43096,,,,,,
Switzerland,2009,27.04660,,,,,,
Switzerland,2010,26.46455,,,,,,
Switzerland,2011,27.00897,,,,,,
Switzerland,2012,26.79019,,,,,,
Switzerland,2013,26.88497,,,,,,
Switzerland,2014,26.96595,,,,,,
Switzerland,2015,27.67684,,,,,,
Switzerland,2016,27.82649,,,,,,
Togo,2000,10.85399,,,,,,
Togo,2001,12.07463,,,,,,
Togo,2002,11.09797,,,,,,
Togo,2003,14.98820,,,,,,
Togo,2004,15.35816,,,,,,
Togo,2005,14.33175,,,,,,
Togo,2006,15.35554,,,,,,
Togo,2007,16.05684,,,,,,
Togo,2008,14.84633,,,,,,
Togo,2009,15.29451,,,,,,
Togo,2010,15.67180,,,,,,
Togo,2011,16.41911,,,,,,
Togo,2012,16.36629,,,,,,
Togo,2013,19.17275,,,,,,
Togo,2014,20.29298,,,,,,
Togo,2015,21.27132,,,,,,
Trinidad and Tobago,1990,23.35500,,,,,,
Trinidad and Tobago,1991,26.44810,,,,,,
Trinidad and Tobago,1992,24.79570,,,,,,
Trinidad and Tobago,1993,25.27750,,,,,,
Trinidad and Tobago,1994,22.66645,,,,,,
Trinidad and Tobago,1995,23.29808,,,,,,
Trinidad and Tobago,1996,24.04620,,,,,,
Trinidad and Tobago,1997,22.33283,,,,,,
Trinidad and Tobago,1998,16.55076,,,,,,
Trinidad and Tobago,1999,19.90656,,,,,,
Trinidad and Tobago,2000,21.43096,,,,,,
Trinidad and Tobago,2001,23.47780,,,,,,
Trinidad and Tobago,2002,21.86200,,,,,,
Trinidad and Tobago,2003,22.18390,,,,,,
Trinidad and Tobago,2004,22.92200,,,,,,
Trinidad and Tobago,2005,26.71730,,,,,,
Trinidad and Tobago,2006,30.36650,,,,,,
Trinidad and Tobago,2007,26.35690,,,,,,
Trinidad and Tobago,2008,29.54730,,,,,,
Trinidad and Tobago,2009,28.38254,,,,,,
Trinidad and Tobago,2010,27.47725,,,,,,
Trinidad and Tobago,2011,26.74329,,,,,,
Trinidad and Tobago,2012,27.55182,,,,,,
Trinidad and Tobago,2013,27.74477,,,,,,
Trinidad and Tobago,2014,30.12603,,,,,,
Trinidad and Tobago,2015,30.55817,,,,,,
Trinidad and Tobago,2016,22.86530,,,,,,
Tunisia,2000,24.35684,,,,,,
Tunisia,2001,24.74316,,,,,,
Tunisia,2002,24.78287,,,,,,
Tunisia,2003,24.20387,,,,,,
Tunisia,2004,24.07918,,,,,,
Tunisia,2005,24.19361,,,,,,
Tunisia,2006,24.33090,,,,,,
Tunisia,2007,25.18442,,,,,,
Tunisia,2008,26.81726,,,,,,
Tunisia,2009,26.62359,,,,,,
Tunisia,2010,27.15982,,,,,,
Tunisia,2011,29.12626,,,,,,
Tunisia,2012,29.05137,,,,,,
Tunisia,2013,29.79370,,,,,,
Tunisia,2014,30.93205,,,,,,
Tunisia,2015,30.25563,,,,,,
Turkey,1990,14.54750,,,,,,
Turkey,1991,15.24626,,,,,,
Turkey,1992,16.29419,,,,,,
Turkey,1993,16.46846,,,,,,
Turkey,1994,16.15616,,,,,,
Turkey,1995,16.39009,,,,,,
Turkey,1996,18.46430,,,,,,
Turkey,1997,20.24367,,,,,,
Turkey,1998,20.61485,,,,,,
Turkey,1999,22.58986,,,,,,
Turkey,2000,23.59159,,,,,,
Turkey,2001,25.55106,,,,,,
Turkey,2002,24.00862,,,,,,
Turkey,2003,25.20081,,,,,,
Turkey,2004,23.32159,,,,,,
Turkey,2005,23.36587,,,,,,
Turkey,2006,23.56481,,,,,,
Turkey,2007,23.06215,,,,,,
Turkey,2008,23.14525,,,,,,
Turkey,2009,23.48584,,,,,,
Turkey,2010,24.81638,,,,,,
Turkey,2011,25.89879,,,,,,
Turkey,2012,24.94611,,,,,,
Turkey,2013,25.34644,,,,,,
Turkey,2014,24.58204,,,,,,
Turkey,2015,25.10009,,,,,,
Turkey,2016,25.46512,,,,,,
Uganda,1992,6.68927,,,,,,
Uganda,1993,7.88964,,,,,,
Uganda,1994,8.92910,,,,,,
Uganda,1995,10.13843,,,,,,
Uganda,1996,10.81859,,,,,,
Uganda,1997,11.08440,,,,,,
Uganda,1998,10.81490,,,,,,
Uganda,1999,11.35779,,,,,,
Uganda,2000,10.74811,,,,,,
Uganda,2001,10.65356,,,,,,
Uganda,2002,10.97970,,,,,,
Uganda,2003,11.40506,,,,,,
Uganda,2004,11.70518,,,,,,
Uganda,2005,12.05676,,,,,,
Uganda,2006,12.29429,,,,,,
Uganda,2007,12.58175,,,,,,
Uganda,2008,12.35106,,,,,,
Uganda,2009,11.27629,,,,,,
Uganda,2010,10.59397,,,,,,
Uganda,2011,10.79600,,,,,,
Uganda,2012,10.93024,,,,,,
Uganda,2013,11.13451,,,,,,
Uganda,2014,11.37852,,,,,,
Uganda,2015,12.47096,,,,,,
United Kingdom,1990,32.87687,,,,,,
United Kingdom,1991,31.69179,,,,,,
United Kingdom,1992,30.90007,,,,,,
United Kingdom,1993,29.88326,,,,,,
United Kingdom,1994,30.61463,,,,,,
United Kingdom,1995,29.83305,,,,,,
United Kingdom,1996,29.65662,,,,,,
United Kingdom,1997,30.28412,,,,,,
United Kingdom,1998,31.81296,,,,,,
United Kingdom,1999,32.53402,,,,,,
United Kingdom,2000,33.17294,,,,,,
United Kingdom,2001,32.83279,,,,,,
United Kingdom,2002,31.80867,,,,,,
United Kingdom,2003,31.50520,,,,,,
United Kingdom,2004,32.46559,,,,,,
United Kingdom,2005,32.88700,,,,,,
United Kingdom,2006,33.13276,,,,,,
United Kingdom,2007,33.18926,,,,,,
United Kingdom,2008,32.62422,,,,,,
United Kingdom,2009,31.60217,,,,,,
United Kingdom,2010,32.59198,,,,,,
United Kingdom,2011,33.51445,,,,,,
United Kingdom,2012,32.75538,,,,,,
United Kingdom,2013,32.57416,,,,,,
United Kingdom,2014,32.17566,,,,,,
United Kingdom,2015,32.52955,,,,,,
United Kingdom,2016,33.21000,,,,,,
United States,1990,25.96187,,,,,,
United States,1991,25.78879,,,,,,
United States,1992,25.67150,,,,,,
United States,1993,25.87429,,,,,,
United States,1994,26.20820,,,,,,
United States,1995,26.46544,,,,,,
United States,1996,26.95402,,,,,,
United States,1997,27.38556,,,,,,
United States,1998,27.78578,,,,,,
United States,1999,27.84701,,,,,,
United States,2000,28.20206,,,,,,
United States,2001,27.15852,,,,,,
United States,2002,24.94190,,,,,,
United States,2003,24.39918,,,,,,
United States,2004,24.62294,,,,,,
United States,2005,25.93291,,,,,,
United States,2006,26.66254,,,,,,
United States,2007,26.71296,,,,,,
United States,2008,25.69012,,,,,,
United States,2009,23.01654,,,,,,
United States,2010,23.49429,,,,,,
United States,2011,23.89950,,,,,,
United States,2012,24.06938,,,,,,
United States,2013,25.65332,,,,,,
United States,2014,25.92643,,,,,,
United States,2015,26.22639,,,,,,
United States,2016,26.02120,,,,,,
Uruguay,1990,19.57774,,,,,,
Uruguay,1991,20.35341,,,,,,
Uruguay,1992,21.44146,,,,,,
Uruguay,1993,20.94111,,,,,,
Uruguay,1994,20.68717,,,,,,
Uruguay,1995,20.96621,,,,,,
Uruguay,1996,21.21389,,,,,,
Uruguay,1997,21.89739,,,,,,
Uruguay,1998,22.02786,,,,,,
Uruguay,1999,21.65158,,,,,,
Uruguay,2000,21.61949,,,,,,
Uruguay,2001,21.94974,,,,,,
Uruguay,2002,21.05335,,,,,,
Uruguay,2003,21.45195,,,,,,
Uruguay,2004,22.65575,,,,,,
Uruguay,2005,23.86778,,,,,,
Uruguay,2006,25.14622,,,,,,
Uruguay,2007,25.05038,,,,,,
Uruguay,2008,26.13956,,,,,,
Uruguay,2009,25.86479,,,,,,
Uruguay,2010,26.22688,,,,,,
Uruguay,2011,26.57626,,,,,,
Uruguay,2012,26.89926,,,,,,
Uruguay,2013,27.47898,,,,,,
Uruguay,2014,27.32504,,,,,,
Uruguay,2015,27.04299,,,,,,
Uruguay,2016,27.86042,,,,,,
Venezuela,1990,18.05687,,,,,,
Venezuela,1991,18.34472,,,,,,
Venezuela,1992,13.96381,,,,,,
Venezuela,1993,13.61302,,,,,,
Venezuela,1994,14.36996,,,,,,
Venezuela,1995,12.83643,,,,,,
Venezuela,1996,13.70626,,,,,,
Venezuela,1997,17.63358,,,,,,
Venezuela,1998,12.94494,,,,,,
Venezuela,1999,13.80522,,,,,,
Venezuela,2000,13.61936,,,,,,
Venezuela,2001,12.15369,,,,,,
Venezuela,2002,11.21863,,,,,,
Venezuela,2003,11.87694,,,,,,
Venezuela,2004,13.30244,,,,,,
Venezuela,2005,15.87865,,,,,,
Venezuela,2006,16.33784,,,,,,
Venezuela,2007,16.95570,,,,,,
Venezuela,2008,14.21574,,,,,,
Venezuela,2009,14.21200,,,,,,
Venezuela,2010,11.80959,,,,,,
Venezuela,2011,13.44679,,,,,,
Venezuela,2012,14.11254,,,,,,
Venezuela,2013,14.42411,,,,,,
Venezuela,2014,18.86441,,,,,,
Venezuela,2015,20.82186,,,,,,
Venezuela,2016,14.39289,,,,,,
