Entity,Year,Import trade share from labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Import trade share from capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000)
Somalia,1983,0.17145,11.68702,,
Somalia,1984,0.13988,7.40255,,
Somalia,1985,0.26907,9.28135,,
Somalia,1986,0.28320,15.77143,,
Somalia,1987,0.20390,19.09277,,
Somalia,1988,0.11176,10.97632,,
Somalia,1989,0.18276,22.57649,,
Somalia,1990,0.27966,21.62959,,
Somalia,1991,0.14431,11.75878,,
Somalia,1992,0.24535,16.46708,,
Somalia,1993,0.59692,13.54901,,
Somalia,1994,0.36331,10.97312,,
Somalia,1995,1.82812,5.83867,,
Somalia,1996,2.85322,4.00333,,
Somalia,1997,1.46612,3.48804,,
Somalia,1998,1.97009,2.73322,,
Somalia,1999,0.53092,4.07770,,
Somalia,2000,0.06837,4.81568,,
South Africa,1962,0.51100,12.99929,,
South Africa,1963,0.42284,16.40170,,
South Africa,1964,0.38679,18.44532,,
South Africa,1965,0.26003,19.19801,,
South Africa,1966,0.20178,16.58633,,
South Africa,1967,0.15724,16.59536,,
South Africa,1968,0.18086,15.55170,,
South Africa,1969,0.12994,15.60585,,
South Africa,1970,0.12539,17.20204,,
South Africa,1971,0.09441,17.44013,,
South Africa,1972,0.11162,14.97294,,
South Africa,1973,0.04671,15.20285,,
South Africa,1974,0.08535,18.70553,,
South Africa,1975,0.08094,18.84032,,
South Africa,1976,0.08310,17.38539,,
South Africa,1977,0.10313,14.01274,,
South Africa,1978,0.03207,14.50779,,
South Africa,1979,0.06802,13.59777,,
South Africa,1980,0.04425,15.23173,,
South Africa,1981,0.03464,18.14254,,
South Africa,1982,0.02229,14.95213,,
South Africa,1983,0.02269,11.65946,,
South Africa,1984,0.31793,18.62898,,
South Africa,1985,0.32279,16.58663,,
South Africa,1986,0.32908,16.83018,,
South Africa,1987,0.29970,15.40262,,
South Africa,1988,0.34592,17.52657,,
South Africa,1989,0.43057,15.39717,,
South Africa,1990,0.40919,14.15015,,
South Africa,1991,0.47776,13.39609,,
South Africa,1992,0.45781,12.83531,,
South Africa,1993,0.39575,12.63398,,
South Africa,1994,0.48401,14.21071,,
South Africa,1995,0.50704,16.31713,,
South Africa,1996,0.55390,17.18570,,
South Africa,1997,0.60319,18.96243,,
South Africa,1998,0.56964,18.22156,,
South Africa,1999,0.50810,16.55566,,
South Africa,2000,0.49795,18.46993,,
South Korea,1962,0.51153,9.80349,,
South Korea,1963,0.42623,13.60596,,
South Korea,1964,0.31962,11.44260,,
South Korea,1965,0.40601,14.21386,,
South Korea,1966,0.62747,18.29932,,
South Korea,1967,0.52614,19.77351,,
South Korea,1968,0.82647,22.67613,,
South Korea,1969,0.68083,22.16889,,
South Korea,1970,0.54141,21.17861,,
South Korea,1971,0.57899,23.13679,,
South Korea,1972,0.25726,22.31288,,
South Korea,1973,0.44423,28.92962,,
South Korea,1974,0.31446,33.56239,,
South Korea,1975,0.36733,31.89187,,
South Korea,1976,0.29414,28.03726,,
South Korea,1977,0.19239,26.90567,,
South Korea,1978,0.23235,27.81713,,
South Korea,1979,0.43686,28.81418,,
South Korea,1980,0.62418,31.22625,,
South Korea,1981,0.67773,33.18170,,
South Korea,1982,0.24018,22.20816,,
South Korea,1983,0.02910,16.91865,,
South Korea,1984,0.72739,29.65208,,
South Korea,1985,0.65050,28.74954,,
South Korea,1986,0.43794,26.04498,,
South Korea,1987,0.46081,26.56498,,
South Korea,1988,0.44164,24.99993,,
South Korea,1989,0.42465,23.94295,,
South Korea,1990,0.43786,23.58112,,
South Korea,1991,0.40169,23.69036,,
South Korea,1992,0.34644,21.94242,,
South Korea,1993,0.35266,20.29531,,
South Korea,1994,0.38383,20.90299,,
South Korea,1995,0.39489,22.74502,,
South Korea,1996,0.38539,23.49251,,
South Korea,1997,0.43165,24.11196,,
South Korea,1998,0.58786,22.92447,,
South Korea,1999,0.60186,22.56750,,
South Korea,2000,0.67118,26.15740,,
Spain,1962,0.35727,7.98486,,
Spain,1963,0.35122,8.46845,,
Spain,1964,0.35319,8.57300,,
Spain,1965,0.32682,10.20692,,
Spain,1966,0.30757,10.47894,,
Spain,1967,0.23154,9.07913,,
Spain,1968,0.22193,8.88629,,
Spain,1969,0.24957,9.45850,,
Spain,1970,0.28745,10.68682,,
Spain,1971,0.27411,9.84577,,
Spain,1972,0.31153,10.60904,,
Spain,1973,0.31554,11.34360,,
Spain,1974,0.30734,14.68566,,
Spain,1975,0.25137,12.78387,,
Spain,1976,0.27816,13.42269,,
Spain,1977,0.31901,12.04972,,
Spain,1978,0.30132,10.56777,,
Spain,1979,0.30412,10.71290,,
Spain,1980,0.33530,12.84320,,
Spain,1981,0.24992,14.39197,,
Spain,1982,0.37520,14.41342,,
Spain,1983,0.47647,15.20650,,
Spain,1984,0.52322,14.47310,,
Spain,1985,0.55570,13.84664,,
Spain,1986,0.33084,12.70670,,
Spain,1987,0.27459,13.92991,,
Spain,1988,0.28221,14.82262,,
Spain,1989,0.30056,15.83679,,
Spain,1990,0.28331,15.38290,,
Spain,1991,0.30995,15.28118,,
Spain,1992,0.32455,14.93622,,
Spain,1993,0.31616,14.30081,,
Spain,1994,0.41801,16.41594,,
Spain,1995,0.42846,17.50933,,
Spain,1996,0.42607,18.07025,,
Spain,1997,0.46612,19.79299,,
Spain,1998,0.45141,20.61857,,
Spain,1999,0.45633,22.09780,,
Spain,2000,0.57896,23.91848,,
Sri Lanka,1962,5.28255,13.46125,,
Sri Lanka,1963,4.13073,12.81131,,
Sri Lanka,1964,5.34476,15.19557,,
Sri Lanka,1965,3.36755,11.15604,,
Sri Lanka,1966,4.62132,14.62550,,
Sri Lanka,1967,2.68898,12.70878,,
Sri Lanka,1968,2.63977,13.51733,,
Sri Lanka,1969,2.90415,14.54320,,
Sri Lanka,1970,2.81060,12.44602,,
Sri Lanka,1971,2.17765,10.40618,,
Sri Lanka,1972,2.63152,8.63177,,
Sri Lanka,1973,1.25769,7.16563,,
Sri Lanka,1974,3.09857,13.07007,,
Sri Lanka,1975,1.91373,16.40486,,
Sri Lanka,1976,2.37625,11.99807,,
Sri Lanka,1977,2.23811,13.78649,,
Sri Lanka,1978,4.70692,26.86147,,
Sri Lanka,1979,5.75292,32.95375,,
Sri Lanka,1980,4.94242,38.68544,,
Sri Lanka,1981,3.75822,35.48148,,
Sri Lanka,1982,2.65817,33.53544,,
Sri Lanka,1983,3.38357,30.39261,,
Sri Lanka,1984,2.27638,16.78383,,
Sri Lanka,1985,1.77634,17.81161,,
Sri Lanka,1986,1.70223,17.09554,,
Sri Lanka,1987,1.89713,18.25971,,
Sri Lanka,1988,2.37046,20.48443,,
Sri Lanka,1989,1.63537,21.34359,,
Sri Lanka,1990,2.35338,20.39367,,
Sri Lanka,1991,2.55607,17.82543,,
Sri Lanka,1992,3.56514,22.43473,,
Sri Lanka,1993,3.16284,23.56991,,
Sri Lanka,1994,3.57602,25.43189,,
Sri Lanka,1995,3.38557,25.30811,,
Sri Lanka,1996,3.82247,21.76175,,
Sri Lanka,1997,3.70294,21.68896,,
Sri Lanka,1998,3.27452,21.80409,,
Sri Lanka,1999,3.73416,22.49432,,
Sri Lanka,2000,0.52683,22.66736,,
Suriname,1970,0.02554,25.18588,,
Suriname,1971,0.04010,25.12344,,
Suriname,1972,0.04245,25.67326,,
Suriname,1973,0.03504,25.63357,,
Suriname,1974,0.04539,33.94986,,
Suriname,1975,0.10899,32.56328,,
Suriname,1976,0.12512,34.43914,,
Suriname,1977,0.12666,36.92685,,
Suriname,1978,0.01915,30.92287,,
Suriname,1979,0.06201,30.17082,,
Suriname,1980,0.19833,38.44373,,
Suriname,1981,0.24711,34.29424,,
Suriname,1982,0.07305,29.74758,,
Suriname,1983,0.13423,24.79279,,
Suriname,1984,0.01993,15.34634,,
Suriname,1985,0.01463,13.32949,,
Suriname,1986,,13.55343,,
Suriname,1987,,10.44881,,
Suriname,1988,,12.31101,,
Suriname,1989,,13.08785,,
Suriname,1990,0.03950,11.26543,,
Suriname,1991,0.00336,8.63856,,
Suriname,1992,0.02704,10.90773,,
Suriname,1993,0.00958,2.23196,,
Suriname,1994,0.16659,48.69872,,
Suriname,1995,0.09512,41.61186,,
Suriname,1996,0.05459,42.53231,,
Suriname,1997,0.04395,30.84921,,
Suriname,1998,0.02269,29.18779,,
Suriname,1999,0.10962,25.72552,,
Suriname,2000,0.03458,14.16473,,
Sweden,1962,0.25348,15.30582,,
Sweden,1963,0.28313,15.34544,,
Sweden,1964,0.28312,15.81446,,
Sweden,1965,0.27590,16.40048,,
Sweden,1966,0.27085,15.65809,,
Sweden,1967,0.21787,14.80264,,
Sweden,1968,0.22809,15.18351,,
Sweden,1969,0.21549,16.16267,,
Sweden,1970,0.23869,17.58588,,
Sweden,1971,0.20028,16.26464,,
Sweden,1972,0.20218,15.72902,,
Sweden,1973,0.22928,17.17692,,
Sweden,1974,0.25921,22.67730,,
Sweden,1975,0.20371,20.73599,,
Sweden,1976,0.24822,20.51769,,
Sweden,1977,0.27639,20.44602,,
Sweden,1978,0.23045,18.82764,,
Sweden,1979,0.21586,21.92761,,
Sweden,1980,0.19996,22.34488,,
Sweden,1981,0.19307,21.45758,,
Sweden,1982,0.21820,22.96513,,
Sweden,1983,0.19722,23.65286,,
Sweden,1984,0.20533,23.04745,,
Sweden,1985,0.22067,23.95867,,
Sweden,1986,0.17672,21.04285,,
Sweden,1987,0.17537,21.61034,,
Sweden,1988,0.17590,21.62589,,
Sweden,1989,0.15739,21.94115,,
Sweden,1990,0.16245,20.70735,,
Sweden,1991,0.14949,17.99148,,
Sweden,1992,0.17417,17.36729,,
Sweden,1993,0.19151,19.91530,,
Sweden,1994,0.23136,22.26385,,
Sweden,1995,0.21716,22.97897,,
Sweden,1996,0.22043,21.96699,,
Sweden,1997,0.28991,23.42757,,
Sweden,1998,0.22114,25.33304,,
Sweden,1999,0.18776,23.29117,,
Sweden,2000,0.22882,25.67019,,
Switzerland,1962,0.35135,24.24024,,
Switzerland,1963,0.38840,23.68330,,
Switzerland,1964,0.42324,23.63209,,
Switzerland,1965,0.41515,22.48413,,
Switzerland,1966,0.37399,22.28610,,
Switzerland,1967,0.38559,21.71146,,
Switzerland,1968,0.40508,22.28766,,
Switzerland,1969,0.39131,24.04618,,
Switzerland,1970,0.36235,25.72229,,
Switzerland,1971,0.32356,23.72546,,
Switzerland,1972,0.26461,22.97676,,
Switzerland,1973,0.29530,23.34803,,
Switzerland,1974,0.37300,24.92584,,
Switzerland,1975,0.30353,20.02219,,
Switzerland,1976,0.39754,21.03238,,
Switzerland,1977,0.42193,23.95355,,
Switzerland,1978,0.33629,22.81205,,
Switzerland,1979,0.33123,24.91808,,
Switzerland,1980,0.36515,28.78533,,
Switzerland,1981,0.30231,26.67645,,
Switzerland,1982,0.30136,24.15776,,
Switzerland,1983,0.33490,24.80008,,
Switzerland,1984,0.32612,26.81711,,
Switzerland,1985,0.26828,27.31628,,
Switzerland,1986,0.23639,25.91307,,
Switzerland,1987,0.21296,25.56148,,
Switzerland,1988,0.19879,26.40869,,
Switzerland,1989,0.20452,28.24086,,
Switzerland,1990,0.18257,26.64278,,
Switzerland,1991,0.17547,25.12567,,
Switzerland,1992,0.18609,23.84647,,
Switzerland,1993,0.18671,22.70192,,
Switzerland,1994,0.19422,22.87814,,
Switzerland,1995,0.19466,23.07301,,
Switzerland,1996,0.19560,23.61290,,
Switzerland,1997,0.22561,25.95949,,
Switzerland,1998,0.24249,26.63834,,
Switzerland,1999,0.22387,27.05539,,
Switzerland,2000,0.27448,30.14962,,
Taiwan,1962,0.28572,13.31751,,
Taiwan,1963,0.26224,14.26350,,
Taiwan,1964,1.01569,13.81907,,
Taiwan,1965,0.85657,16.13806,,
Taiwan,1966,0.75548,16.84449,,
Taiwan,1967,0.67328,20.39907,,
Taiwan,1968,0.80544,18.84857,,
Taiwan,1969,0.70691,22.52892,,
Taiwan,1970,0.64737,25.58211,,
Taiwan,1971,0.79363,26.12783,,
Taiwan,1972,0.64438,66.91499,,
Taiwan,1973,1.01215,83.63941,,
Taiwan,1974,0.70153,146.62186,,
Taiwan,1975,0.65866,139.80402,,
Taiwan,1976,0.64826,105.20814,,
Taiwan,1977,0.37850,32.20982,,
Taiwan,1978,0.19195,28.03075,,
Taiwan,1979,0.76735,39.13959,,
Taiwan,1980,0.58511,42.02415,,
Taiwan,1981,0.44147,35.45629,,
Taiwan,1982,0.24487,31.08109,,
Taiwan,1983,0.12510,24.14521,,
Taiwan,1984,0.22720,30.38243,,
Taiwan,1985,0.26445,27.16923,,
Taiwan,1986,0.37939,27.08716,,
Taiwan,1987,0.30867,29.03770,,
Taiwan,1988,0.29447,33.34228,,
Taiwan,1989,0.31769,29.26098,,
Taiwan,1990,0.28577,28.18551,,
Taiwan,1991,0.50162,32.17925,,
Taiwan,1992,0.46411,30.94638,,
Taiwan,1993,0.52182,31.28488,,
Taiwan,1994,0.59771,31.56644,,
Taiwan,1995,0.65210,35.28074,,
Taiwan,1996,0.69240,33.05470,,
Taiwan,1997,0.94488,35.41356,,
Taiwan,1998,1.04476,34.96854,,
Taiwan,1999,1.02790,33.87144,,
Taiwan,2000,1.44280,38.91975,,
Tajikistan,1992,,20.04428,,
Tajikistan,1993,0.23299,14.75643,,
Tajikistan,1994,0.08693,9.89673,,
Tajikistan,1995,1.57517,26.95395,,
Tajikistan,1996,0.45766,28.28463,,
Tajikistan,1997,1.01912,26.46861,,
Tajikistan,1998,0.56517,16.84159,,
Tajikistan,1999,0.30198,17.64161,,
Tajikistan,2000,0.19696,19.56042,,
Tanzania,1962,0.62034,5.01987,,
Tanzania,1963,0.59192,5.71590,,
Tanzania,1964,0.41147,5.15179,,
Tanzania,1965,0.62385,4.97375,,
Tanzania,1966,0.61225,5.66523,,
Tanzania,1967,0.63911,5.43233,,
Tanzania,1968,0.52494,6.11748,,
Tanzania,1969,0.44542,5.47618,,
Tanzania,1970,0.52878,10.31385,,
Tanzania,1971,0.37955,12.43529,,
Tanzania,1972,0.27432,11.59428,,
Tanzania,1973,0.27932,12.10576,,
Tanzania,1974,0.52483,17.41392,,
Tanzania,1975,0.56390,14.10493,,
Tanzania,1976,2.19869,9.78790,,
Tanzania,1977,1.03792,8.57087,,
Tanzania,1978,0.10823,10.76644,,
Tanzania,1979,0.87420,11.25623,,
Tanzania,1980,0.63981,10.61506,,
Tanzania,1981,0.06021,6.51228,,
Tanzania,1982,0.03580,5.87066,,
Tanzania,1983,0.02242,4.13960,,
Tanzania,1984,0.09618,5.15012,,
Tanzania,1985,0.18013,4.52322,,
Tanzania,1986,0.48744,6.42296,,
Tanzania,1987,0.98061,10.98850,,
Tanzania,1988,0.45319,9.74613,,
Tanzania,1989,0.36626,9.37747,,
Tanzania,1990,0.46421,11.08970,,
Tanzania,1991,0.82015,9.07990,,
Tanzania,1992,1.31107,12.99258,,
Tanzania,1993,1.08354,12.30394,,
Tanzania,1994,1.10392,11.68945,,
Tanzania,1995,1.20058,13.00380,,
Tanzania,1996,0.87064,9.15415,,
Tanzania,1997,0.83470,8.78885,,
Tanzania,1998,0.89724,7.49902,,
Tanzania,1999,0.70083,7.32096,,
Tanzania,2000,0.12230,6.01457,,
Thailand,1962,0.31889,15.41066,,
Thailand,1963,0.16347,16.33868,,
Thailand,1964,0.34416,16.82049,,
Thailand,1965,0.32445,17.05497,,
Thailand,1966,0.22689,22.32495,,
Thailand,1967,0.39794,18.10576,,
Thailand,1968,0.32459,18.14216,,
Thailand,1969,0.30186,18.75952,,
Thailand,1970,0.24211,16.57686,,
Thailand,1971,0.21866,15.92974,,
Thailand,1972,0.24405,16.65106,,
Thailand,1973,0.23470,17.37382,,
Thailand,1974,0.28250,21.34859,,
Thailand,1975,0.31737,20.05545,,
Thailand,1976,0.43603,18.93328,,
Thailand,1977,0.42768,21.22283,,
Thailand,1978,0.28793,20.30187,,
Thailand,1979,0.46380,23.74849,,
Thailand,1980,0.60914,26.63116,,
Thailand,1981,0.40192,26.45880,,
Thailand,1982,0.31839,21.60968,,
Thailand,1983,0.39903,23.62487,,
Thailand,1984,0.30907,22.76197,,
Thailand,1985,0.52875,20.80698,,
Thailand,1986,0.59828,18.70068,,
Thailand,1987,0.85920,22.65862,,
Thailand,1988,1.02014,29.43605,,
Thailand,1989,0.99212,31.96832,,
Thailand,1990,1.14528,35.43003,,
Thailand,1991,1.53379,34.51708,,
Thailand,1992,0.91345,33.26724,,
Thailand,1993,0.98552,33.81780,,
Thailand,1994,1.01949,35.23732,,
Thailand,1995,1.19755,39.60833,,
Thailand,1996,1.08731,37.22003,,
Thailand,1997,1.27728,38.81477,,
Thailand,1998,1.37757,34.10928,,
Thailand,1999,1.57262,36.00309,,
Thailand,2000,2.06147,43.61846,,
Togo,1962,1.83350,13.40285,,
Togo,1963,2.27736,13.12052,,
Togo,1964,1.68742,18.57537,,
Togo,1965,1.45234,18.26870,,
Togo,1966,1.67147,16.73552,,
Togo,1967,1.59121,14.97683,,
Togo,1968,1.23017,15.43833,,
Togo,1969,1.25082,16.68791,,
Togo,1970,1.92010,20.99645,,
Togo,1971,1.34816,20.71375,,
Togo,1972,1.16292,22.11585,,
Togo,1973,1.01177,22.68815,,
Togo,1974,0.77960,19.76692,,
Togo,1975,0.93090,26.47483,,
Togo,1976,1.02568,30.17918,,
Togo,1977,0.90500,38.93034,,
Togo,1978,0.07002,48.32328,,
Togo,1979,0.96016,42.29406,,
Togo,1980,0.40545,38.50993,,
Togo,1981,2.18596,41.77461,,
Togo,1982,0.56461,47.81751,,
Togo,1983,1.05067,57.02783,,
Togo,1984,1.14386,33.45844,,
Togo,1985,2.30914,34.49624,,
Togo,1986,1.41618,33.45919,,
Togo,1987,0.54455,30.54522,,
Togo,1988,0.79360,29.09773,,
Togo,1989,0.47839,34.70390,,
Togo,1990,0.91648,26.77266,,
Togo,1991,0.81398,26.79954,,
Togo,1992,1.18169,27.89681,,
Togo,1993,0.44946,20.92557,,
Togo,1994,2.37307,29.61175,,
Togo,1995,2.49875,32.29043,,
Togo,1996,1.97133,24.55059,,
Togo,1997,2.24906,27.62938,,
Togo,1998,1.93663,29.09315,,
Togo,1999,1.35799,29.62576,,
Togo,2000,0.45018,33.80881,,
Trinidad and Tobago,1962,0.16637,39.25129,,
Trinidad and Tobago,1963,0.12518,43.36733,,
Trinidad and Tobago,1964,0.15722,40.44110,,
Trinidad and Tobago,1965,0.14912,47.15989,,
Trinidad and Tobago,1966,0.16162,44.32649,,
Trinidad and Tobago,1967,0.15202,44.78034,,
Trinidad and Tobago,1968,0.35428,49.68696,,
Trinidad and Tobago,1969,1.35083,51.99332,,
Trinidad and Tobago,1970,0.45499,59.60122,,
Trinidad and Tobago,1971,0.44504,67.23812,,
Trinidad and Tobago,1972,0.47266,58.44227,,
Trinidad and Tobago,1973,0.41897,52.45912,,
Trinidad and Tobago,1974,0.31516,72.80983,,
Trinidad and Tobago,1975,0.27245,48.19067,,
Trinidad and Tobago,1976,0.38074,63.50900,,
Trinidad and Tobago,1977,0.43240,50.06254,,
Trinidad and Tobago,1978,0.43531,45.73920,,
Trinidad and Tobago,1979,0.41769,41.20389,,
Trinidad and Tobago,1980,0.41797,47.04696,,
Trinidad and Tobago,1981,0.37025,38.86877,,
Trinidad and Tobago,1982,1.26349,39.00827,,
Trinidad and Tobago,1983,0.50159,31.78557,,
Trinidad and Tobago,1984,0.01391,16.17982,,
Trinidad and Tobago,1985,0.01750,13.47565,,
Trinidad and Tobago,1986,0.02123,20.94660,,
Trinidad and Tobago,1987,0.01640,15.27678,,
Trinidad and Tobago,1988,0.02542,13.66382,,
Trinidad and Tobago,1989,0.11730,19.87271,,
Trinidad and Tobago,1990,0.02393,16.33802,,
Trinidad and Tobago,1991,0.04774,20.63883,,
Trinidad and Tobago,1992,0.02557,19.44685,,
Trinidad and Tobago,1993,0.06196,23.41340,,
Trinidad and Tobago,1994,0.02917,21.32324,,
Trinidad and Tobago,1995,0.04571,24.75523,,
Trinidad and Tobago,1996,0.08099,26.57279,,
Trinidad and Tobago,1997,0.16114,33.71291,,
Trinidad and Tobago,1998,0.09896,33.04357,,
Trinidad and Tobago,1999,0.08252,29.26271,,
Trinidad and Tobago,2000,0.01550,17.74569,,
Tunisia,1962,0.51683,19.81014,,
Tunisia,1963,0.59242,17.08909,,
Tunisia,1964,0.68933,17.94503,,
Tunisia,1965,0.50945,19.31706,,
Tunisia,1966,0.53227,18.32671,,
Tunisia,1967,0.54884,18.52815,,
Tunisia,1968,0.32807,14.31349,,
Tunisia,1969,0.43986,15.54528,,
Tunisia,1970,0.43002,17.90956,,
Tunisia,1971,0.26074,17.24262,,
Tunisia,1972,0.35313,17.68774,,
Tunisia,1973,0.33050,18.80356,,
Tunisia,1974,0.65047,26.19937,,
Tunisia,1975,0.53737,27.23639,,
Tunisia,1976,0.66177,28.02785,,
Tunisia,1977,0.51577,29.00272,,
Tunisia,1978,0.27223,26.50720,,
Tunisia,1979,0.53401,32.31288,,
Tunisia,1980,0.49123,34.88241,,
Tunisia,1981,0.49914,39.21964,,
Tunisia,1982,0.29240,31.12008,,
Tunisia,1983,0.01229,27.76513,,
Tunisia,1984,0.49247,32.34998,,
Tunisia,1985,0.49046,25.93247,,
Tunisia,1986,0.40416,26.56712,,
Tunisia,1987,0.56187,25.30577,,
Tunisia,1988,0.83914,29.52727,,
Tunisia,1989,0.86823,34.54144,,
Tunisia,1990,0.88787,36.41993,,
Tunisia,1991,0.89729,33.88562,,
Tunisia,1992,0.77161,35.12979,,
Tunisia,1993,0.62950,36.20918,,
Tunisia,1994,0.60332,35.75585,,
Tunisia,1995,0.66909,37.88202,,
Tunisia,1996,0.71894,33.81647,,
Tunisia,1997,0.79216,36.16237,,
Tunisia,1998,0.93513,36.07793,,
Tunisia,1999,0.88178,34.22632,,
Tunisia,2000,0.89839,35.68641,,
Turkey,1962,0.08181,6.47335,,
Turkey,1963,0.07633,6.19235,,
Turkey,1964,0.03384,4.39844,,
Turkey,1965,0.04679,4.12211,,
Turkey,1966,0.03655,4.42851,,
Turkey,1967,0.06832,3.73368,,
Turkey,1968,0.08475,3.72118,,
Turkey,1969,0.06456,3.30995,,
Turkey,1970,0.03764,3.24939,,
Turkey,1971,0.04057,4.03999,,
Turkey,1972,0.06486,4.55849,,
Turkey,1973,0.02337,5.11364,,
Turkey,1974,0.08025,6.43002,,
Turkey,1975,0.13839,6.24404,,
Turkey,1976,0.10698,5.77087,,
Turkey,1977,0.09671,5.80215,,
Turkey,1978,0.11205,4.34298,,
Turkey,1979,0.04773,3.33094,,
Turkey,1980,0.12144,6.41413,,
Turkey,1981,0.15063,7.23499,,
Turkey,1982,0.14129,8.14066,,
Turkey,1983,0.39608,14.55769,,
Turkey,1984,0.23655,11.17801,,
Turkey,1985,0.14002,10.56570,,
Turkey,1986,0.18333,9.28867,,
Turkey,1987,0.20741,10.25812,,
Turkey,1988,0.17930,9.66416,,
Turkey,1989,0.11928,8.74447,,
Turkey,1990,0.19941,9.93575,,
Turkey,1991,0.18344,9.88844,,
Turkey,1992,0.20698,10.17097,,
Turkey,1993,0.44991,11.42320,,
Turkey,1994,0.57235,12.21807,,
Turkey,1995,0.74339,14.44278,,
Turkey,1996,0.68138,16.38296,,
Turkey,1997,0.78413,17.41075,,
Turkey,1998,0.75184,15.67050,,
Turkey,1999,0.60020,14.87153,,
Turkey,2000,0.79263,18.36452,,
Uganda,1962,0.26995,5.06888,,
Uganda,1963,0.39624,5.44824,,
Uganda,1964,0.39168,5.41774,,
Uganda,1965,0.40162,8.89963,,
Uganda,1966,0.49921,9.79957,,
Uganda,1967,0.38854,9.24912,,
Uganda,1968,0.40657,9.85007,,
Uganda,1969,0.52545,9.06682,,
Uganda,1970,0.56280,7.95762,,
Uganda,1971,0.72348,11.28900,,
Uganda,1972,0.41246,5.96592,,
Uganda,1973,0.29960,4.20379,,
Uganda,1974,0.24748,5.04011,,
Uganda,1975,0.19966,3.50526,,
Uganda,1976,2.45071,2.03445,,
Uganda,1977,1.83434,2.75720,,
Uganda,1978,0.92323,1.96898,,
Uganda,1979,0.78074,0.46258,,
Uganda,1980,0.64200,0.72074,,
Uganda,1981,0.12600,2.10266,,
Uganda,1982,0.02552,3.02371,,
Uganda,1983,0.04400,2.74286,,
Uganda,1984,0.11121,3.49832,,
Uganda,1985,0.27020,2.48783,,
Uganda,1986,0.84298,2.29688,,
Uganda,1987,0.61819,4.03548,,
Uganda,1988,0.30609,2.80133,,
Uganda,1989,0.49939,3.82663,,
Uganda,1990,0.30431,5.72988,,
Uganda,1991,0.77868,6.76872,,
Uganda,1992,0.73740,5.01552,,
Uganda,1993,0.75376,5.01589,,
Uganda,1994,0.53957,3.79658,,
Uganda,1995,0.56935,5.00959,,
Uganda,1996,0.47019,4.41922,,
Uganda,1997,0.54882,4.23461,,
Uganda,1998,0.58388,4.56420,,
Uganda,1999,0.51198,4.15028,,
Uganda,2000,0.02375,4.00814,,
Ukraine,1992,0.00382,8.25140,,
Ukraine,1993,0.39072,8.24582,,
Ukraine,1994,0.17410,8.35073,,
Ukraine,1995,0.18559,13.02870,,
Ukraine,1996,0.10364,30.02577,,
Ukraine,1997,0.11563,28.29901,,
Ukraine,1998,0.07914,29.23972,,
Ukraine,1999,0.13601,28.97435,,
Ukraine,2000,0.02593,32.14057,,
United Arab Emirates,1970,0.57523,8.00485,,
United Arab Emirates,1971,1.28042,6.41886,,
United Arab Emirates,1972,1.05600,15.40266,,
United Arab Emirates,1973,0.91045,15.98899,,
United Arab Emirates,1974,0.94680,11.21693,,
United Arab Emirates,1975,0.77794,14.83122,,
United Arab Emirates,1976,1.04512,15.63215,,
United Arab Emirates,1977,0.93816,15.07038,,
United Arab Emirates,1978,0.02468,17.20242,,
United Arab Emirates,1979,0.96328,19.44920,,
United Arab Emirates,1980,0.30934,16.96081,,
United Arab Emirates,1981,0.84345,16.54351,,
United Arab Emirates,1982,0.84089,17.46359,,
United Arab Emirates,1983,0.68148,13.15929,,
United Arab Emirates,1984,0.99556,15.50186,,
United Arab Emirates,1985,1.04299,15.24065,,
United Arab Emirates,1986,1.30914,18.25975,,
United Arab Emirates,1987,1.12907,18.59594,,
United Arab Emirates,1988,1.53193,21.55885,,
United Arab Emirates,1989,1.59476,20.58180,,
United Arab Emirates,1990,1.62880,20.51413,,
United Arab Emirates,1991,1.58092,17.66831,,
United Arab Emirates,1992,1.91491,21.01839,,
United Arab Emirates,1993,2.35668,21.38966,,
United Arab Emirates,1994,3.01412,29.87961,,
United Arab Emirates,1995,2.45205,28.70840,,
United Arab Emirates,1996,2.40419,27.57887,,
United Arab Emirates,1997,2.16874,28.17485,,
United Arab Emirates,1998,2.31146,29.55859,,
United Arab Emirates,1999,3.28259,26.25544,,
United Arab Emirates,2000,0.61328,33.23189,,
United Kingdom,1962,1.05140,11.31142,,
United Kingdom,1963,1.00621,11.50868,,
United Kingdom,1964,0.90836,12.45863,,
United Kingdom,1965,0.97321,12.06706,,
United Kingdom,1966,0.84275,11.77855,,
United Kingdom,1967,0.83843,12.43461,,
United Kingdom,1968,0.90596,13.85277,,
United Kingdom,1969,0.78633,13.44151,,
United Kingdom,1970,0.64320,14.02141,,
United Kingdom,1971,0.56853,13.81809,,
United Kingdom,1972,0.49967,14.12396,,
United Kingdom,1973,0.59045,17.44617,,
United Kingdom,1974,0.72231,22.84776,,
United Kingdom,1975,0.65768,19.25536,,
United Kingdom,1976,0.78377,21.68360,,
United Kingdom,1977,0.85115,21.78470,,
United Kingdom,1978,0.64859,19.97035,,
