Entity,Year,GDP per capita
East Germany,1950,2783
East Germany,1951,2897
East Germany,1952,3012
East Germany,1953,3126
East Germany,1954,3240
East Germany,1955,3355
East Germany,1956,3469
East Germany,1957,3584
East Germany,1958,3698
East Germany,1959,3812
East Germany,1960,3927
East Germany,1961,3982
East Germany,1962,4122
East Germany,1963,4241
East Germany,1964,4347
East Germany,1965,4509
East Germany,1966,4637
East Germany,1967,4780
East Germany,1968,4997
East Germany,1969,5117
East Germany,1970,5254
East Germany,1971,5371
East Germany,1972,5558
East Germany,1973,5753
East Germany,1974,6048
East Germany,1975,6300
East Germany,1976,6451
East Germany,1977,6657
East Germany,1978,6774
East Germany,1979,6967
East Germany,1980,7118
East Germany,1981,7264
East Germany,1982,7241
East Germany,1983,7393
East Germany,1984,7617
East Germany,1985,7866
East Germany,1986,7989
East Germany,1987,8116
East Germany,1988,8192
East Germany,1989,8422
Japan,1950,1921
Japan,1951,2126
Japan,1952,2336
Japan,1953,2474
Japan,1954,2582
Japan,1955,2771
Japan,1956,2948
Japan,1957,3136
Japan,1958,3289
Japan,1959,3554
Japan,1960,3986
Japan,1961,4426
Japan,1962,4777
Japan,1963,5129
Japan,1964,5668
Japan,1965,5934
Japan,1966,6506
Japan,1967,7152
Japan,1968,7983
Japan,1969,8874
Japan,1970,9714
Japan,1971,10040
Japan,1972,10734
Japan,1973,11434
Japan,1974,11145
Japan,1975,11344
Japan,1976,11669
Japan,1977,12064
Japan,1978,12585
Japan,1979,13163
Japan,1980,13428
Japan,1981,13754
Japan,1982,14078
Japan,1983,14307
Japan,1984,14773
Japan,1985,15331
Japan,1986,15679
Japan,1987,16251
Japan,1988,17185
Japan,1989,17943
Spain,1950,2189
Spain,1951,2386
Spain,1952,2558
Spain,1953,2528
Spain,1954,2696
Spain,1955,2778
Spain,1956,2978
Spain,1957,3046
Spain,1958,3150
Spain,1959,3050
Spain,1960,3072
Spain,1961,3436
Spain,1962,3800
Spain,1963,4151
Spain,1964,4515
Spain,1965,4762
Spain,1966,5060
Spain,1967,5334
Spain,1968,5588
Spain,1969,6032
Spain,1970,6319
Spain,1971,6618
Spain,1972,7099
Spain,1973,7661
Spain,1974,8149
Spain,1975,8346
Spain,1976,8599
Spain,1977,8833
Spain,1978,9023
Spain,1979,9068
Spain,1980,9203
Spain,1981,9186
Spain,1982,9293
Spain,1983,9478
Spain,1984,9571
Spain,1985,9722
Spain,1986,9998
Spain,1987,10520
Spain,1988,11046
Spain,1989,11582
West Germany,1950,4281
West Germany,1951,4651
West Germany,1952,5046
West Germany,1953,5439
West Germany,1954,5797
West Germany,1955,6431
West Germany,1956,6839
West Germany,1957,7154
West Germany,1958,7378
West Germany,1959,7868
West Germany,1960,8464
West Germany,1961,8729
West Germany,1962,9023
West Germany,1963,9184
West Germany,1964,9697
West Germany,1965,10105
West Germany,1966,10299
West Germany,1967,10243
West Germany,1968,10772
West Germany,1969,11465
West Germany,1970,11934
West Germany,1971,12162
West Germany,1972,12604
West Germany,1973,13153
West Germany,1974,13172
West Germany,1975,13034
West Germany,1976,13798
West Germany,1977,14219
West Germany,1978,14664
West Germany,1979,15257
West Germany,1980,15371
West Germany,1981,15356
West Germany,1982,15224
West Germany,1983,15546
West Germany,1984,16048
West Germany,1985,16413
West Germany,1986,16787
West Germany,1987,17033
West Germany,1988,17560
West Germany,1989,18016
