Entity,Year,Public expenditure on health %GDP (OWID extrapolated series),Public expenditure on health %GDP - (Lindert (1994)),Public expenditure on health %GDP - (OECD (1993)),Public expenditure on health %GDP (OECDstat (2016)),Public expenditure on health %GDP (WHO (2017))
Dominica,2010,4.04718257,,,,4.04718257
Dominica,2011,3.97439009,,,,3.97439009
Dominica,2012,3.66936388,,,,3.66936388
Dominica,2013,3.81221685,,,,3.81221685
Dominica,2014,3.76797285,,,,3.76797285
Dominican Republic,1995,1.15522077,,,,1.15522077
Dominican Republic,1996,1.2382753,,,,1.2382753
Dominican Republic,1997,1.48835433,,,,1.48835433
Dominican Republic,1998,1.79891083,,,,1.79891083
Dominican Republic,1999,2.00188919,,,,2.00188919
Dominican Republic,2000,2.19249507,,,,2.19249507
Dominican Republic,2001,1.92589591,,,,1.92589591
Dominican Republic,2002,2.00873854,,,,2.00873854
Dominican Republic,2003,1.82087737,,,,1.82087737
Dominican Republic,2004,1.38861925,,,,1.38861925
Dominican Republic,2005,1.48594905,,,,1.48594905
Dominican Republic,2006,1.78160583,,,,1.78160583
Dominican Republic,2007,1.99250876,,,,1.99250876
Dominican Republic,2008,2.05127783,,,,2.05127783
Dominican Republic,2009,2.24556022,,,,2.24556022
Dominican Republic,2010,2.26396485,,,,2.26396485
Dominican Republic,2011,2.60438608,,,,2.60438608
Dominican Republic,2012,2.70181226,,,,2.70181226
Dominican Republic,2013,2.62346736,,,,2.62346736
Dominican Republic,2014,2.92737565,,,,2.92737565
Ecuador,1995,1.88152442,,,,1.88152442
Ecuador,1996,2.20420246,,,,2.20420246
Ecuador,1997,1.98748139,,,,1.98748139
Ecuador,1998,1.40074052,,,,1.40074052
Ecuador,1999,1.37514163,,,,1.37514163
Ecuador,2000,0.89600318,,,,0.89600318
Ecuador,2001,1.22846315,,,,1.22846315
Ecuador,2002,1.42887597,,,,1.42887597
Ecuador,2003,1.42571458,,,,1.42571458
Ecuador,2004,1.42931442,,,,1.42931442
Ecuador,2005,1.30987544,,,,1.30987544
Ecuador,2006,1.42365577,,,,1.42365577
Ecuador,2007,1.5062409,,,,1.5062409
Ecuador,2008,1.63035466,,,,1.63035466
Ecuador,2009,2.18659128,,,,2.18659128
Ecuador,2010,2.45940763,,,,2.45940763
Ecuador,2011,2.59738099,,,,2.59738099
Ecuador,2012,2.957293,,,,2.957293
Ecuador,2013,3.8583853,,,,3.8583853
Ecuador,2014,4.50815657,,,,4.50815657
Egypt,1995,1.64602504,,,,1.64602504
Egypt,1996,1.62066467,,,,1.62066467
Egypt,1997,1.78553945,,,,1.78553945
Egypt,1998,1.96981126,,,,1.96981126
Egypt,1999,2.1234134,,,,2.1234134
Egypt,2000,2.24695839,,,,2.24695839
Egypt,2001,2.32755828,,,,2.32755828
Egypt,2002,2.40381706,,,,2.40381706
Egypt,2003,2.06854796,,,,2.06854796
Egypt,2004,1.98591149,,,,1.98591149
Egypt,2005,1.98504099,,,,1.98504099
Egypt,2006,2.28751928,,,,2.28751928
Egypt,2007,2.04669573,,,,2.04669573
Egypt,2008,2.0297272,,,,2.0297272
Egypt,2009,2.05812685,,,,2.05812685
Egypt,2010,1.87259285,,,,1.87259285
Egypt,2011,1.99080414,,,,1.99080414
Egypt,2012,1.90923133,,,,1.90923133
Egypt,2013,2.0574681,,,,2.0574681
Egypt,2014,2.1553845,,,,2.1553845
El Salvador,1995,2.45676543,,,,2.45676543
El Salvador,1996,3.10632723,,,,3.10632723
El Salvador,1997,3.20477299,,,,3.20477299
El Salvador,1998,3.68357541,,,,3.68357541
El Salvador,1999,3.65173293,,,,3.65173293
El Salvador,2000,3.79630276,,,,3.79630276
El Salvador,2001,3.75344867,,,,3.75344867
El Salvador,2002,3.80568022,,,,3.80568022
El Salvador,2003,3.75017367,,,,3.75017367
El Salvador,2004,3.63530419,,,,3.63530419
El Salvador,2005,3.81255309,,,,3.81255309
El Salvador,2006,4.15313881,,,,4.15313881
El Salvador,2007,3.74476965,,,,3.74476965
El Salvador,2008,3.70671478,,,,3.70671478
El Salvador,2009,4.13369693,,,,4.13369693
El Salvador,2010,4.29012069,,,,4.29012069
El Salvador,2011,4.32790334,,,,4.32790334
El Salvador,2012,4.21047115,,,,4.21047115
El Salvador,2013,4.63229191,,,,4.63229191
El Salvador,2014,4.46950833,,,,4.46950833
Equatorial Guinea,1995,3.88385813,,,,3.88385813
Equatorial Guinea,1996,2.73299809,,,,2.73299809
Equatorial Guinea,1997,2.25124564,,,,2.25124564
Equatorial Guinea,1998,3.05595426,,,,3.05595426
Equatorial Guinea,1999,1.92225661,,,,1.92225661
Equatorial Guinea,2000,2.16627168,,,,2.16627168
Equatorial Guinea,2001,1.33552519,,,,1.33552519
Equatorial Guinea,2002,1.11172151,,,,1.11172151
Equatorial Guinea,2003,1.52759716,,,,1.52759716
Equatorial Guinea,2004,1.35245463,,,,1.35245463
Equatorial Guinea,2005,0.91398212,,,,0.91398212
Equatorial Guinea,2006,1.46745206,,,,1.46745206
Equatorial Guinea,2007,1.64082836,,,,1.64082836
Equatorial Guinea,2008,1.79507957,,,,1.79507957
Equatorial Guinea,2009,4.4611084,,,,4.4611084
Equatorial Guinea,2010,3.05717111,,,,3.05717111
Equatorial Guinea,2011,2.59665433,,,,2.59665433
Equatorial Guinea,2012,3.32588194,,,,3.32588194
Equatorial Guinea,2013,2.96178991,,,,2.96178991
Equatorial Guinea,2014,2.93271044,,,,2.93271044
Eritrea,1995,2.1719744,,,,2.1719744
Eritrea,1996,1.32110035,,,,1.32110035
Eritrea,1997,1.77092697,,,,1.77092697
Eritrea,1998,1.85142628,,,,1.85142628
Eritrea,1999,1.9965689,,,,1.9965689
Eritrea,2000,1.58851117,,,,1.58851117
Eritrea,2001,1.38678138,,,,1.38678138
Eritrea,2002,1.64046934,,,,1.64046934
Eritrea,2003,1.291689,,,,1.291689
Eritrea,2004,1.23601456,,,,1.23601456
Eritrea,2005,1.09593914,,,,1.09593914
Eritrea,2006,1.47045053,,,,1.47045053
Eritrea,2007,1.49033813,,,,1.49033813
Eritrea,2008,1.93142961,,,,1.93142961
Eritrea,2009,1.39796022,,,,1.39796022
Eritrea,2010,1.42486356,,,,1.42486356
Eritrea,2011,1.40782257,,,,1.40782257
Eritrea,2012,1.38397646,,,,1.38397646
Eritrea,2013,1.37826626,,,,1.37826626
Eritrea,2014,1.52746401,,,,1.52746401
Estonia,1995,5.67149484,,,,5.67149484
Estonia,1996,5.80962437,,,,5.80962437
Estonia,1997,5.51790868,,,,5.51790868
Estonia,1998,4.79702497,,,,4.79702497
Estonia,1999,4.53643744,,,4.3893,4.53643744
Estonia,2000,4.07551484,,,3.975,4.07551484
Estonia,2001,3.81748706,,,3.7519,3.81748706
Estonia,2002,3.73572585,,,3.6236,3.73572585
Estonia,2003,3.77500917,,,3.74,3.77500917
Estonia,2004,3.87711768,,,3.8404,3.87711768
Estonia,2005,3.85004156,,,3.7963,3.85004156
Estonia,2006,3.67354922,,,3.5991,3.67354922
Estonia,2007,3.89924275,,,3.8237,3.89924275
Estonia,2008,4.71242341,,,4.4736,4.71242341
Estonia,2009,5.21671676,,,5.0774,5.21671676
Estonia,2010,4.9273468,,,4.8219,4.9273468
Estonia,2011,4.62588548,,,4.4561,4.62588548
Estonia,2012,5.11576165,,,4.4449,5.11576165
Estonia,2013,5.13860337,,,4.5172,5.13860337
Estonia,2014,5.0283959,,,4.6323,5.0283959
Estonia,2015,,,,4.7598,
Ethiopia,1995,1.20108991,,,,1.20108991
Ethiopia,1996,1.11333172,,,,1.11333172
Ethiopia,1997,1.30828311,,,,1.30828311
Ethiopia,1998,1.63413601,,,,1.63413601
Ethiopia,1999,1.84274281,,,,1.84274281
Ethiopia,2000,2.38265541,,,,2.38265541
Ethiopia,2001,2.2308182,,,,2.2308182
Ethiopia,2002,2.55028135,,,,2.55028135
Ethiopia,2003,2.55636891,,,,2.55636891
Ethiopia,2004,2.37364068,,,,2.37364068
Ethiopia,2005,2.58033435,,,,2.58033435
Ethiopia,2006,2.52940563,,,,2.52940563
Ethiopia,2007,2.5714771,,,,2.5714771
Ethiopia,2008,2.22132219,,,,2.22132219
Ethiopia,2009,2.4215197,,,,2.4215197
Ethiopia,2010,3.71673604,,,,3.71673604
Ethiopia,2011,3.73515573,,,,3.73515573
Ethiopia,2012,3.31059512,,,,3.31059512
Ethiopia,2013,2.95363772,,,,2.95363772
Ethiopia,2014,2.86756675,,,,2.86756675
Fiji,1995,2.46368722,,,,2.46368722
Fiji,1996,2.64361075,,,,2.64361075
Fiji,1997,2.89240714,,,,2.89240714
Fiji,1998,2.60443361,,,,2.60443361
Fiji,1999,2.50533762,,,,2.50533762
Fiji,2000,3.23557116,,,,3.23557116
Fiji,2001,2.62817835,,,,2.62817835
Fiji,2002,2.85448819,,,,2.85448819
Fiji,2003,2.70026476,,,,2.70026476
Fiji,2004,2.88766334,,,,2.88766334
Fiji,2005,2.93605582,,,,2.93605582
Fiji,2006,3.01236199,,,,3.01236199
Fiji,2007,2.7919826,,,,2.7919826
Fiji,2008,2.78032904,,,,2.78032904
Fiji,2009,2.95390616,,,,2.95390616
Fiji,2010,2.96520594,,,,2.96520594
Fiji,2011,2.6771442,,,,2.6771442
Fiji,2012,2.76214864,,,,2.76214864
Fiji,2013,2.90224387,,,,2.90224387
Fiji,2014,2.95320811,,,,2.95320811
Finland,1880,0.23,0.23,,,
Finland,1890,0.34,0.34,,,
Finland,1900,0.35,0.35,,,
Finland,1910,0.38,0.38,,,
Finland,1920,0.19,0.19,,,
Finland,1930,1.28,1.28,,,
Finland,1960,1.926910541,,2.12,,
Finland,1961,1.947007185,,2.15,,
Finland,1962,2.127583618,,2.34,,
Finland,1963,2.273560611,,2.51,,
Finland,1964,2.482939539,,2.74,,
Finland,1965,2.940124464,,3.24,,
Finland,1966,3.14600606,,3.47,,
Finland,1967,3.647383474,,4.02,,
Finland,1968,3.800562993,,4.19,,
Finland,1969,3.872091302,,4.27,,
Finland,1970,3.81655688,,4.21,3.5528,
Finland,1971,4.031834407,,4.27,3.7532,
Finland,1972,4.029793352,,4.40,3.7513,
Finland,1973,4.033445766,,4.45,3.7547,
Finland,1974,4.040858016,,4.48,3.7616,
Finland,1975,4.669287923,,4.99,4.3466,
Finland,1976,4.943756028,,5.23,4.6021,
Finland,1977,5.14517587,,5.41,4.7896,
Finland,1978,5.042800878,,5.28,4.6943,
Finland,1979,4.9589028,,5.12,4.6162,
Finland,1980,4.949986615,,5.11,4.6079,
Finland,1981,5.090497097,,5.27,4.7387,
Finland,1982,5.186426654,,5.40,4.828,
Finland,1983,5.190401338,,5.42,4.8317,
Finland,1984,5.192764665,,5.38,4.8339,
Finland,1985,5.545007684,,5.68,5.1618,
Finland,1986,5.684014231,,5.84,5.2912,
Finland,1987,5.826243496,,5.89,5.4236,
Finland,1988,5.650390546,,5.74,5.2599,
Finland,1989,5.726876374,,5.78,5.3311,
Finland,1990,6.229190604,,6.32,5.7987,
Finland,1991,7.171728041,,7.21,6.6761,
Finland,1992,7.218457444,,,6.7196,
Finland,1993,6.338333302,,,5.9003,
Finland,1994,5.851702964,,,5.4473,
Finland,1995,5.62718698,,,5.2383,5.62718698
Finland,1996,5.75353562,,,5.3167,5.75353562
Finland,1997,5.56313205,,,5.0919,5.56313205
Finland,1998,5.3265931,,,4.9144,5.3265931
Finland,1999,5.26877805,,,4.8404,5.26877805
Finland,2000,5.14446416,,,4.8801,5.14446416
Finland,2001,5.34361309,,,5.0342,5.34361309
Finland,2002,5.65716003,,,5.3575,5.65716003
Finland,2003,5.93223251,,,5.7544,5.93223251
Finland,2004,6.0172661,,,5.8835,6.0172661
Finland,2005,6.22186548,,,6.0688,6.22186548
Finland,2006,6.27918843,,,6.0346,6.27918843
Finland,2007,6.03173102,,,5.8937,6.03173102
Finland,2008,6.25382194,,,6.0873,6.25382194
Finland,2009,6.89682279,,,6.6814,6.89682279
Finland,2010,6.73883183,,,6.6315,6.73883183
Finland,2011,6.75355116,,,6.7356,6.75355116
Finland,2012,7.04083988,,,7.0416,7.04083988
Finland,2013,7.20401669,,,7.1721,7.20401669
Finland,2014,7.28981427,,,7.1708,7.28981427
Finland,2015,,,,7.2814,
France,1880,0.25,0.25,,,
France,1890,0.29,0.29,,,
France,1900,0.27,0.27,,,
France,1910,0.26,0.26,,,
France,1920,0.23,0.23,,,
France,1930,0.32,0.32,,,
France,1960,2.264407381,,2.45,,
France,1961,2.535075635,,2.74,,
France,1962,2.784860548,,3.01,,
France,1963,2.998932584,,3.24,,
France,1964,3.197794049,,3.46,,
France,1965,3.285219252,,3.55,,
France,1966,3.452313102,,3.73,,
France,1967,3.562881884,,3.85,,
France,1968,3.444427234,,3.72,,
France,1969,3.765687039,,4.07,,
France,1970,4.021751292,,4.35,3.8807,
France,1971,,,4.51,,
France,1972,,,4.66,,
France,1973,,,4.68,,
France,1974,,,4.77,,
France,1975,4.927725725,,5.37,4.7549,
France,1976,,,5.31,,
France,1977,,,5.40,,
France,1978,,,5.65,,
France,1979,,,5.79,,
France,1980,5.5562701,,5.95,5.3614,
France,1981,,,6.25,,
France,1982,,,6.30,,
France,1983,,,6.35,,
France,1984,,,6.58,,
France,1985,6.180669089,,6.50,5.9639,
France,1986,,,6.47,,
France,1987,,,6.49,,
France,1988,,,6.40,,
France,1989,,,6.51,,
France,1990,6.266789513,,6.57,6.047,
France,1991,6.411463536,,6.69,6.1866,
France,1992,6.609613057,,,6.3778,
France,1993,6.922278908,,,6.6795,
France,1994,6.859994461,,,6.6194,
France,1995,8.05821871,,,7.7756,8.05821871
France,1996,8.04280869,,,7.7677,8.04280869
France,1997,7.94448732,,,7.678,7.94448732
France,1998,7.84424806,,,7.5892,7.84424806
France,1999,7.83124775,,,7.5851,7.83124775
France,2000,7.75949958,,,7.5261,7.75949958
France,2001,7.84866657,,,7.627,7.84866657
France,2002,8.1416539,,,7.9031,8.1416539
France,2003,8.12782088,,,7.9102,8.12782088
France,2004,8.20640927,,,7.9765,8.20640927
France,2005,8.26633717,,,8.01,8.26633717
France,2006,8.17318341,,,7.8928,8.17318341
France,2007,8.1182878,,,7.8209,8.1182878
France,2008,8.16933746,,,7.8856,8.16933746
France,2009,8.74652319,,,8.4616,8.74652319
France,2010,8.67910496,,,8.3744,8.67910496
France,2011,8.73113595,,,8.3591,8.73113595
France,2012,8.82605179,,,8.4504,8.82605179
France,2013,8.91069405,,,8.5542,8.91069405
France,2014,9.02451437,,,8.7393,9.02451437
France,2015,,,,8.6374,
Gabon,1995,1.2574453,,,,1.2574453
Gabon,1996,1.28647559,,,,1.28647559
Gabon,1997,1.1921763,,,,1.1921763
Gabon,1998,1.7313439,,,,1.7313439
Gabon,1999,1.2139877,,,,1.2139877
Gabon,2000,1.15485616,,,,1.15485616
Gabon,2001,1.28583741,,,,1.28583741
Gabon,2002,1.20729001,,,,1.20729001
Gabon,2003,1.46758131,,,,1.46758131
Gabon,2004,1.36059829,,,,1.36059829
Gabon,2005,1.11498098,,,,1.11498098
Gabon,2006,1.23508614,,,,1.23508614
Gabon,2007,1.26697806,,,,1.26697806
Gabon,2008,1.07624141,,,,1.07624141
Gabon,2009,1.54809965,,,,1.54809965
Gabon,2010,2.44092455,,,,2.44092455
Gabon,2011,2.10328795,,,,2.10328795
Gabon,2012,2.2102012,,,,2.2102012
Gabon,2013,2.93182963,,,,2.93182963
Gabon,2014,2.35058092,,,,2.35058092
Gambia,1995,1.04110457,,,,1.04110457
Gambia,1996,0.89620451,,,,0.89620451
Gambia,1997,0.9212909,,,,0.9212909
Gambia,1998,1.1948231,,,,1.1948231
Gambia,1999,1.25261532,,,,1.25261532
Gambia,2000,1.23486671,,,,1.23486671
Gambia,2001,1.55374665,,,,1.55374665
Gambia,2002,1.40735689,,,,1.40735689
Gambia,2003,2.12397488,,,,2.12397488
Gambia,2004,2.51485024,,,,2.51485024
Gambia,2005,2.897599,,,,2.897599
Gambia,2006,3.24463094,,,,3.24463094
Gambia,2007,3.40312534,,,,3.40312534
Gambia,2008,3.5270129,,,,3.5270129
Gambia,2009,3.48232827,,,,3.48232827
Gambia,2010,3.43308687,,,,3.43308687
Gambia,2011,3.73512102,,,,3.73512102
Gambia,2012,3.67221276,,,,3.67221276
Gambia,2013,4.18162845,,,,4.18162845
Gambia,2014,5.04561252,,,,5.04561252
Georgia,1996,0.8742158,,,,0.8742158
Georgia,1997,1.4912791,,,,1.4912791
Georgia,1998,1.19565707,,,,1.19565707
Georgia,1999,1.14052741,,,,1.14052741
Georgia,2000,1.18060889,,,,1.18060889
Georgia,2001,1.38819437,,,,1.38819437
Georgia,2002,1.40035004,,,,1.40035004
Georgia,2003,1.25729464,,,,1.25729464
Georgia,2004,1.30724247,,,,1.30724247
Georgia,2005,1.64850458,,,,1.64850458
Georgia,2006,1.7716621,,,,1.7716621
Georgia,2007,1.44962343,,,,1.44962343
Georgia,2008,1.77997441,,,,1.77997441
Georgia,2009,2.27025857,,,,2.27025857
Georgia,2010,2.28992913,,,,2.28992913
Georgia,2011,1.70062438,,,,1.70062438
Georgia,2012,1.21034891,,,,1.21034891
Georgia,2013,1.27612024,,,,1.27612024
Georgia,2014,1.55273054,,,,1.55273054
Germany,1880,0,0,,,
Germany,1890,0,0,,,
Germany,1900,0,0,,,
Germany,1910,0,0,,,
Germany,1930,0.06,0.06,,,
Germany,1960,3.126596089,,3.17,,
Germany,1961,3.210501846,,3.26,,
Germany,1962,3.310338694,,3.36,,
Germany,1963,3.372494486,,3.42,,
Germany,1964,3.360435841,,3.41,,
Germany,1965,3.577081267,,3.63,,
Germany,1966,3.929575972,,3.99,,
Germany,1967,4.084347914,,4.14,,
Germany,1968,4.255762058,,4.32,,
Germany,1969,4.244460362,,4.31,,
Germany,1970,4.033772962,,4.09,4.0797,
Germany,1971,4.486320424,,4.51,4.5374,
Germany,1972,4.79065538,,4.73,4.8452,
Germany,1973,5.124257115,,5.14,5.1826,
Germany,1974,5.610421824,,5.69,5.6743,
Germany,1975,6.189627207,,6.28,6.2601,
Germany,1976,6.202975231,,6.17,6.2736,
Germany,1977,6.136630607,,6.11,6.2065,
Germany,1978,6.193285554,,6.21,6.2638,
Germany,1979,6.065540018,,6.18,6.1346,
Germany,1980,6.232242011,,6.32,6.3032,
Germany,1981,6.466178497,,6.53,6.5398,
Germany,1982,6.289193581,,6.39,6.3608,
Germany,1983,6.206930202,,6.23,6.2776,
Germany,1984,6.315098636,,6.33,6.387,
Germany,1985,6.421981705,,6.39,6.4951,
Germany,1986,6.364634637,,6.34,6.4371,
Germany,1987,6.433747741,,6.37,6.507,
Germany,1988,6.549628368,,6.53,6.6242,
Germany,1989,5.98960459,,6.00,6.0578,
Germany,1990,5.990098961,,5.96,6.0583,
Germany,1991,,,6.10,,
Germany,1992,7.232750592,,,7.3151,
Germany,1993,7.15879265,,,7.2403,
Germany,1994,7.371866668,,,7.4558,
Germany,1995,7.67867348,,,7.7661,7.67867348
Germany,1996,8.11736955,,,8.0679,8.11736955
Germany,1997,8.08569888,,,7.8572,8.08569888
Germany,1998,8.04040666,,,7.812,8.04040666
Germany,1999,8.01233001,,,7.8436,8.01233001
Germany,2000,7.99875265,,,7.8091,7.99875265
Germany,2001,8.03376379,,,7.8335,8.03376379
Germany,2002,8.18158775,,,7.9822,8.18158775
Germany,2003,8.28938597,,,8.1101,8.28938597
Germany,2004,7.91981926,,,7.7545,7.91981926
Germany,2005,8.00670184,,,7.8421,8.00670184
Germany,2006,7.85851875,,,7.7149,7.85851875
Germany,2007,7.73251951,,,7.6013,7.73251951
Germany,2008,7.90173866,,,7.7596,7.90173866
Germany,2009,8.70986229,,,9.3354,8.70986229
Germany,2010,8.5757308,,,9.2084,8.5757308
Germany,2011,8.3076223,,,8.9505,8.3076223
Germany,2012,8.36111454,,,8.9935,8.36111454
Germany,2013,8.56949398,,,9.2078,8.56949398
Germany,2014,8.69723732,,,9.3384,8.69723732
Germany,2015,,,,9.4205,
Ghana,1995,1.62287138,,,,1.62287138
Ghana,1996,2.0189271,,,,2.0189271
Ghana,1997,1.43560553,,,,1.43560553
Ghana,1998,1.77275378,,,,1.77275378
Ghana,1999,1.59337754,,,,1.59337754
Ghana,2000,1.49809434,,,,1.49809434
Ghana,2001,2.04500369,,,,2.04500369
Ghana,2002,1.50885023,,,,1.50885023
Ghana,2003,1.58056238,,,,1.58056238
Ghana,2004,2.39904382,,,,2.39904382
Ghana,2005,2.92394495,,,,2.92394495
Ghana,2006,3.04422816,,,,3.04422816
Ghana,2007,3.72988789,,,,3.72988789
Ghana,2008,3.2230545,,,,3.2230545
Ghana,2009,3.67496336,,,,3.67496336
Ghana,2010,3.82937674,,,,3.82937674
Ghana,2011,3.57552049,,,,3.57552049
Ghana,2012,3.14067583,,,,3.14067583
Ghana,2013,3.24216013,,,,3.24216013
Ghana,2014,2.12888509,,,,2.12888509
Greece,1880,0,0,,,
Greece,1890,0,0,,,
Greece,1900,0,0,,,
Greece,1910,0,0,,,
Greece,1920,0,0,,,
Greece,1930,0,0,,,
Greece,1960,1.353739713,,1.85,,
Greece,1961,1.292347128,,1.77,,
Greece,1962,1.378436317,,1.89,,
Greece,1963,1.379106201,,1.89,,
Greece,1964,1.532749477,,2.10,,
Greece,1965,1.629024314,,2.23,,
Greece,1966,1.679686917,,2.30,,
Greece,1967,1.633194662,,2.24,,
Greece,1968,1.575334911,,2.16,,
Greece,1969,1.575764773,,2.16,,
Greece,1970,1.573684111,,2.16,,
Greece,1971,1.674380305,,2.29,,
Greece,1972,1.670774822,,2.29,,
Greece,1973,1.588217806,,2.18,,
Greece,1974,1.736065723,,2.38,,
Greece,1975,1.790596053,,2.45,,
Greece,1976,1.993636483,,2.73,,
Greece,1977,2.222800459,,3.04,,
Greece,1978,2.293274505,,3.14,,
Greece,1979,2.327251437,,3.19,,
Greece,1980,2.601179794,,3.56,,
Greece,1981,2.762820604,,3.78,,
Greece,1982,2.945109605,,4.03,,
Greece,1983,2.965740315,,4.06,,
Greece,1984,2.90335954,,3.98,,
Greece,1985,2.875599271,,3.94,,
Greece,1986,3.156796876,,4.32,,
Greece,1987,3.024569589,,4.14,,
Greece,1988,3.028496763,,4.15,2.9672,
Greece,1989,3.45696904,,4.01,3.387,
Greece,1990,3.352963978,,4.14,3.2851,
Greece,1991,3.277537343,,,3.2112,
Greece,1992,3.681309694,,,3.6068,
Greece,1993,4.129684805,,,4.0461,
Greece,1994,4.183677619,,,4.099,
Greece,1995,4.3013595,,,4.2143,4.3013595
Greece,1996,4.32564739,,,4.2645,4.32564739
Greece,1997,4.232331,,,4.1469,4.232331
Greece,1998,4.11854775,,,4.0379,4.11854775
Greece,1999,4.34042636,,,4.2537,4.34042636
Greece,2000,4.5622111,,,4.4638,4.5622111
Greece,2001,5.14607034,,,5.0488,5.14607034
Greece,2002,5.05564637,,,4.978,5.05564637
Greece,2003,5.14686853,,,5.0608,5.14686853
Greece,2004,4.90873744,,,4.8308,4.90873744
Greece,2005,5.6273191,,,5.5505,5.6273191
Greece,2006,5.79083234,,,5.7133,5.79083234
Greece,2007,5.67782836,,,5.6048,5.67782836
Greece,2008,5.84985855,,,5.8499,5.84985855
Greece,2009,6.78107986,,,6.7772,6.78107986
Greece,2010,6.21635375,,,6.8935,6.21635375
Greece,2011,6.6828024,,,6.3703,6.6828024
Greece,2012,6.27443023,,,5.9663,6.27443023
Greece,2013,6.06628752,,,5.5552,6.06628752
Greece,2014,4.98503919,,,4.9424,4.98503919
Greece,2015,,,,4.9682,
Grenada,1995,3.00643432,,,,3.00643432
Grenada,1996,3.01674292,,,,3.01674292
Grenada,1997,3.15786917,,,,3.15786917
Grenada,1998,3.15148881,,,,3.15148881
Grenada,1999,3.70731924,,,,3.70731924
Grenada,2000,3.44699932,,,,3.44699932
Grenada,2001,4.5132388,,,,4.5132388
Grenada,2002,3.52454987,,,,3.52454987
Grenada,2003,3.05506691,,,,3.05506691
Grenada,2004,2.70056389,,,,2.70056389
Grenada,2005,2.9189364,,,,2.9189364
Grenada,2006,3.20818176,,,,3.20818176
Grenada,2007,2.89789097,,,,2.89789097
Grenada,2008,2.69154161,,,,2.69154161
Grenada,2009,3.07333463,,,,3.07333463
Grenada,2010,3.10052625,,,,3.10052625
Grenada,2011,3.04019063,,,,3.04019063
Grenada,2012,3.04594194,,,,3.04594194
Grenada,2013,2.78244427,,,,2.78244427
Grenada,2014,2.82735742,,,,2.82735742
Guatemala,1995,1.56825183,,,,1.56825183
Guatemala,1996,1.47408881,,,,1.47408881
Guatemala,1997,1.65235263,,,,1.65235263
Guatemala,1998,1.68789776,,,,1.68789776
Guatemala,1999,1.82256832,,,,1.82256832
Guatemala,2000,1.90628799,,,,1.90628799
Guatemala,2001,2.16538254,,,,2.16538254
Guatemala,2002,2.12695041,,,,2.12695041
Guatemala,2003,2.25078009,,,,2.25078009
Guatemala,2004,2.18862221,,,,2.18862221
Guatemala,2005,2.15193385,,,,2.15193385
Guatemala,2006,2.38932787,,,,2.38932787
Guatemala,2007,2.26818626,,,,2.26818626
Guatemala,2008,2.31978797,,,,2.31978797
Guatemala,2009,2.5169934,,,,2.5169934
Guatemala,2010,2.37549694,,,,2.37549694
Guatemala,2011,2.15314798,,,,2.15314798
Guatemala,2012,2.14774653,,,,2.14774653
Guatemala,2013,2.3218893,,,,2.3218893
Guatemala,2014,2.33472902,,,,2.33472902
Guinea,1995,1.24440635,,,,1.24440635
Guinea,1996,0.76922423,,,,0.76922423
Guinea,1997,0.75397171,,,,0.75397171
Guinea,1998,0.94858287,,,,0.94858287
Guinea,1999,1.034079,,,,1.034079
Guinea,2000,1.09593945,,,,1.09593945
Guinea,2001,1.27041596,,,,1.27041596
Guinea,2002,1.31330023,,,,1.31330023
Guinea,2003,1.31331175,,,,1.31331175
Guinea,2004,0.87968225,,,,0.87968225
Guinea,2005,0.55486584,,,,0.55486584
Guinea,2006,0.66542757,,,,0.66542757
Guinea,2008,0.7846244,,,,0.7846244
Guinea,2009,1.34649864,,,,1.34649864
Guinea,2010,2.01176889,,,,2.01176889
Guinea,2011,1.97715897,,,,1.97715897
Guinea,2012,2.09894618,,,,2.09894618
Guinea,2013,2.37824284,,,,2.37824284
Guinea,2014,2.73624478,,,,2.73624478
Guinea-Bissau,1995,1.59182256,,,,1.59182256
Guinea-Bissau,1996,2.10738801,,,,2.10738801
Guinea-Bissau,1997,2.24932414,,,,2.24932414
Guinea-Bissau,1998,2.20708166,,,,2.20708166
Guinea-Bissau,1999,1.45868903,,,,1.45868903
Guinea-Bissau,2000,0.51596524,,,,0.51596524
Guinea-Bissau,2002,1.29016916,,,,1.29016916
Guinea-Bissau,2003,1.29615357,,,,1.29615357
Guinea-Bissau,2004,0.85529617,,,,0.85529617
Guinea-Bissau,2005,1.08353819,,,,1.08353819
Guinea-Bissau,2006,1.06854651,,,,1.06854651
Guinea-Bissau,2007,1.36320144,,,,1.36320144
Guinea-Bissau,2008,1.15778754,,,,1.15778754
Guinea-Bissau,2009,1.91662708,,,,1.91662708
Guinea-Bissau,2010,1.84945341,,,,1.84945341
Guinea-Bissau,2011,1.04697493,,,,1.04697493
Guinea-Bissau,2012,1.59137059,,,,1.59137059
Guinea-Bissau,2013,1.62501237,,,,1.62501237
Guinea-Bissau,2014,1.14512231,,,,1.14512231
Guyana,1995,4.12369198,,,,4.12369198
Guyana,1996,4.04218257,,,,4.04218257
Guyana,1997,4.26722281,,,,4.26722281
Guyana,1998,4.31401355,,,,4.31401355
Guyana,1999,3.81580525,,,,3.81580525
Guyana,2000,4.95494348,,,,4.95494348
Guyana,2001,4.89801031,,,,4.89801031
Guyana,2002,4.94658054,,,,4.94658054
Guyana,2003,4.74972888,,,,4.74972888
Guyana,2004,4.54830727,,,,4.54830727
