Entity,Year,Carbon Monoxide,NOx,Non-methane Volatile Organic Compounds (VOCs),PM₁₀,PM₂.₅,SO₂,Carbon Monoxide (Index),NOx (Index),Non-methane Volatile Organic Compounds (VOCs) (Index),PM₁₀ (Index),PM₂.₅ (Index),SO₂ (Index)
Luxembourg,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Luxembourg,1991,,,,,,,97.28,112.96,,97.15,97.11,100.91
Luxembourg,1992,,,,,,,89.16,112.65,,90.29,90.03,96.64
Luxembourg,1993,,,,,,,91.90,108.78,,95.39,97.72,103.50
Luxembourg,1994,,,,,,,78.18,100.43,,82.44,84.26,93.73
Luxembourg,1995,,,,,,,45.27,85.90,,49.81,51.11,57.10
Luxembourg,1996,,,,,,,41.66,86.31,,47.45,48.55,52.10
Luxembourg,1997,,,,,,,28.45,87.77,,33.68,34.51,36.17
Luxembourg,1998,,,,,,,12.10,85.58,,16.61,17.06,19.59
Luxembourg,1999,,,,,,,11.86,91.01,,17.51,17.79,19.94
Luxembourg,2000,,,,,,,9.00,102.27,,17.33,17.67,20.94
Luxembourg,2001,,,,,,,9.36,105.80,,18.49,18.81,25.26
Luxembourg,2002,,,,,,,8.74,106.41,,17.11,17.46,18.46
Luxembourg,2003,,,,,,,8.55,112.85,,18.77,18.95,17.16
Luxembourg,2004,,,,,,,9.06,134.30,,18.95,19.39,16.61
Luxembourg,2005,,,,,,,8.15,136.93,,18.73,19.15,16.22
Luxembourg,2006,,,,,,,7.64,121.19,,17.80,18.15,18.81
Luxembourg,2007,,,,,,,8.43,107.04,,16.06,16.38,15.87
Luxembourg,2008,,,,,,,7.22,96.45,,15.62,15.89,11.56
Luxembourg,2009,,,,,,,6.44,84.09,,14.74,14.94,11.73
Luxembourg,2010,,,,,,,6.22,84.05,,14.80,15.00,11.25
Luxembourg,2011,,,,,,,5.73,83.94,,13.72,13.85,8.52
Luxembourg,2012,,,,,,,5.86,76.32,,13.61,13.75,9.87
Luxembourg,2013,,,,,,,5.74,67.57,,13.23,13.36,10.28
Luxembourg,2014,,,,,,,5.41,62.26,,13.30,13.34,10.43
Luxembourg,2015,,,,,,,4.68,54.18,,12.17,12.15,8.48
Netherlands,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Netherlands,1991,,,,,,,91.28,97.80,,95.26,95.54,92.74
Netherlands,1992,,,,,,,87.71,95.02,,91.28,91.67,87.13
Netherlands,1993,,,,,,,85.43,92.76,,86.06,86.49,81.28
Netherlands,1994,,,,,,,80.86,86.43,,79.33,79.31,74.30
Netherlands,1995,,,,,,,80.11,83.56,,73.74,73.61,67.30
Netherlands,1996,,,,,,,78.57,81.13,,69.63,69.69,60.84
Netherlands,1997,,,,,,,74.05,75.44,,62.97,63.21,53.30
Netherlands,1998,,,,,,,71.24,72.57,,58.41,58.71,49.05
Netherlands,1999,,,,,,,68.71,72.04,,55.48,55.71,45.85
Netherlands,2000,,,,,,,65.53,68.76,,57.08,54.34,37.43
Netherlands,2001,,,,,,,65.38,66.65,,54.79,52.06,38.03
Netherlands,2002,,,,,,,64.74,64.79,,53.87,50.84,34.57
Netherlands,2003,,,,,,,64.07,64.12,,50.44,47.21,32.23
Netherlands,2004,,,,,,,64.89,61.89,,49.20,45.74,33.62
Netherlands,2005,,,,,,,63.14,60.19,,47.61,41.77,32.70
Netherlands,2006,,,,,,,64.06,58.77,,46.79,42.21,32.71
Netherlands,2007,,,,,,,63.00,56.09,,45.98,39.66,30.89
Netherlands,2008,,,,,,,63.37,54.58,,44.42,36.81,26.02
Netherlands,2009,,,,,,,59.09,49.41,,41.41,33.47,19.09
Netherlands,2010,,,,,,,58.96,48.47,,40.30,32.06,17.36
Netherlands,2011,,,,,,,56.99,45.92,,39.62,30.38,17.33
Netherlands,2012,,,,,,,54.06,43.23,,37.42,27.80,17.46
Netherlands,2013,,,,,,,51.44,41.21,,36.64,26.74,15.28
Netherlands,2014,,,,,,,49.01,36.93,,35.67,25.18,15.06
Netherlands,2015,,,,,,,49.66,35.89,,35.50,24.71,15.67
New Zealand,1990,,,,,,,100.00,100.00,,,,100.00
New Zealand,1991,,,,,,,98.67,101.47,,,,95.54
New Zealand,1992,,,,,,,99.61,110.65,,,,104.49
New Zealand,1993,,,,,,,100.39,111.49,,,,99.76
New Zealand,1994,,,,,,,105.23,116.61,,,,102.30
New Zealand,1995,,,,,,,106.13,121.15,,,,112.26
New Zealand,1996,,,,,,,106.03,127.13,,,,108.35
New Zealand,1997,,,,,,,109.66,136.19,,,,110.33
New Zealand,1998,,,,,,,110.75,130.87,,,,110.40
New Zealand,1999,,,,,,,112.90,139.72,,,,120.47
New Zealand,2000,,,,,,,113.12,147.23,,,,127.73
New Zealand,2001,,,,,,,114.04,153.19,,,,130.76
New Zealand,2002,,,,,,,117.44,156.30,,,,134.72
New Zealand,2003,,,,,,,120.18,162.76,,,,155.62
New Zealand,2004,,,,,,,123.23,160.01,,,,158.04
New Zealand,2005,,,,,,,121.94,169.56,,,,172.12
New Zealand,2006,,,,,,,122.00,169.13,,,,164.05
New Zealand,2007,,,,,,,124.31,165.25,,,,148.70
New Zealand,2008,,,,,,,121.07,167.44,,,,157.50
New Zealand,2009,,,,,,,118.54,157.43,,,,134.43
New Zealand,2010,,,,,,,120.90,158.31,,,,135.66
New Zealand,2011,,,,,,,119.03,158.45,,,,137.62
New Zealand,2012,,,,,,,117.84,165.33,,,,146.29
New Zealand,2013,,,,,,,117.06,165.81,,,,138.64
New Zealand,2014,,,,,,,116.92,167.92,,,,137.03
New Zealand,2015,,,,,,,118.71,169.92,,,,141.55
Norway,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Norway,1991,,,,,,,93.89,96.81,,93.19,92.04,84.01
Norway,1992,,,,,,,89.60,96.48,,88.95,87.51,70.67
Norway,1993,,,,,,,90.79,98.33,,96.00,96.79,67.17
Norway,1994,,,,,,,90.35,100.94,,98.34,101.97,66.75
Norway,1995,,,,,,,87.85,102.21,,98.36,102.84,64.78
Norway,1996,,,,,,,85.43,107.11,,101.15,104.97,63.61
Norway,1997,,,,,,,84.36,111.38,,108.67,114.24,58.63
Norway,1998,,,,,,,81.30,110.78,,98.95,104.08,57.57
Norway,1999,,,,,,,78.21,111.74,,95.53,100.04,56.25
Norway,2000,,,,,,,75.89,105.86,,97.99,102.12,52.07
Norway,2001,,,,,,,73.78,104.88,,97.35,100.66,48.55
Norway,2002,,,,,,,72.84,102.08,,99.16,103.07,43.98
Norway,2003,,,,,,,69.87,102.05,,94.09,97.14,44.72
Norway,2004,,,,,,,66.38,102.58,,91.26,93.61,48.01
Norway,2005,,,,,,,66.71,102.82,,92.67,94.19,46.02
Norway,2006,,,,,,,63.56,101.06,,89.14,89.68,40.49
Norway,2007,,,,,,,61.78,102.67,,91.00,90.04,38.50
Norway,2008,,,,,,,60.20,97.94,,86.84,87.38,38.37
Norway,2009,,,,,,,54.33,93.33,,83.59,83.53,29.73
Norway,2010,,,,,,,55.85,95.19,,89.86,91.72,37.70
Norway,2011,,,,,,,52.79,92.89,,84.41,84.76,36.02
Norway,2012,,,,,,,51.95,89.94,,88.02,86.01,33.16
Norway,2013,,,,,,,48.33,84.43,,76.82,74.34,32.05
Norway,2014,,,,,,,45.91,79.54,,70.57,66.32,31.59
Norway,2015,,,,,,,46.61,76.63,,71.32,67.82,31.29
OECD - Total,1990,,,,,,,100.00,100.00,,,,100.00
OECD - Total,1991,,,,,,,96.92,98.69,,,,94.62
OECD - Total,1992,,,,,,,93.58,98.79,,,,90.79
OECD - Total,1993,,,,,,,90.53,98.15,,,,86.98
OECD - Total,1994,,,,,,,86.56,96.71,,,,82.96
OECD - Total,1995,,,,,,,83.59,95.94,,,,74.77
OECD - Total,1996,,,,,,,80.57,95.34,,,,72.30
OECD - Total,1997,,,,,,,77.92,94.99,,,,71.54
OECD - Total,1998,,,,,,,75.40,93.16,,,,68.68
OECD - Total,1999,,,,,,,72.03,89.77,,,,63.44
OECD - Total,2000,,,,,,,69.89,88.09,,,,60.38
OECD - Total,2001,,,,,,,66.78,85.77,,,,58.72
OECD - Total,2002,,,,,,,61.62,89.96,,,,56.28
OECD - Total,2003,,,,,,,59.75,87.56,,,,54.64
OECD - Total,2004,,,,,,,57.93,84.47,,,,52.73
OECD - Total,2005,,,,,,,55.24,81.81,,,,52.03
OECD - Total,2006,,,,,,,53.34,78.54,,,,48.90
OECD - Total,2007,,,,,,,51.50,75.52,,,,46.43
OECD - Total,2008,,,,,,,47.81,70.78,,,,41.52
OECD - Total,2009,,,,,,,43.67,66.15,,,,37.78
OECD - Total,2010,,,,,,,44.66,64.50,,,,34.37
OECD - Total,2011,,,,,,,42.89,62.62,,,,31.75
OECD - Total,2012,,,,,,,41.36,60.79,,,,29.20
OECD - Total,2013,,,,,,,39.66,58.85,,,,26.63
OECD - Total,2014,,,,,,,37.77,56.63,,,,26.08
OECD - Total,2015,,,,,,,36.81,54.51,,,,23.27
Poland,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Poland,1991,,,,,,,97.89,97.23,,108.61,106.29,93.30
Poland,1992,,,,,,,95.77,95.14,,106.02,103.34,87.85
Poland,1993,,,,,,,93.66,95.63,,114.46,117.62,84.89
Poland,1994,,,,,,,91.54,95.72,,106.30,108.87,81.15
Poland,1995,,,,,,,89.42,105.25,,105.12,110.56,70.26
Poland,1996,,,,,,,90.95,108.98,,107.61,114.27,70.21
Poland,1997,,,,,,,86.02,103.31,,99.31,106.66,64.43
Poland,1998,,,,,,,77.48,93.36,,88.68,96.39,57.01
Poland,1999,,,,,,,78.85,91.14,,86.37,92.81,51.89
Poland,2000,,,,,,,68.29,83.57,,78.22,86.75,45.22
Poland,2001,,,,,,,70.01,83.06,,80.00,88.43,44.73
Poland,2002,,,,,,,72.02,79.82,,80.94,89.02,41.45
Poland,2003,,,,,,,71.17,82.01,,80.20,89.18,40.09
Poland,2004,,,,,,,73.16,84.62,,78.70,88.27,38.91
Poland,2005,,,,,,,71.07,84.24,,83.22,92.14,37.93
Poland,2006,,,,,,,74.95,84.73,,84.48,91.88,40.26
Poland,2007,,,,,,,73.04,85.20,,79.60,87.21,38.29
Poland,2008,,,,,,,73.11,82.10,,76.60,84.53,31.38
Poland,2009,,,,,,,71.93,80.09,,72.95,81.34,27.05
Poland,2010,,,,,,,77.90,85.21,,77.04,86.13,29.20
Poland,2011,,,,,,,75.67,83.42,,71.32,80.69,27.58
Poland,2012,,,,,,,72.02,81.11,,71.51,81.00,26.75
Poland,2013,,,,,,,74.22,79.03,,68.42,77.61,26.38
Poland,2014,,,,,,,69.76,71.59,,64.45,72.69,24.93
Poland,2015,,,,,,,61.96,70.67,,63.77,72.14,21.50
Portugal,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Portugal,1991,,,,,,,101.78,104.67,,106.97,102.27,97.19
Portugal,1992,,,,,,,106.58,112.27,,116.52,107.83,116.26
Portugal,1993,,,,,,,103.92,108.59,,108.44,101.22,98.85
Portugal,1994,,,,,,,101.35,108.67,,108.65,101.51,91.36
Portugal,1995,,,,,,,99.94,112.73,,114.42,104.22,102.40
Portugal,1996,,,,,,,98.22,107.68,,110.43,104.10,84.40
Portugal,1997,,,,,,,93.86,107.07,,121.55,109.08,89.06
Portugal,1998,,,,,,,90.93,109.96,,128.66,111.79,103.77
Portugal,1999,,,,,,,87.66,113.14,,121.40,110.34,93.58
Portugal,2000,,,,,,,81.29,111.73,,121.55,110.06,81.52
Portugal,2001,,,,,,,71.21,111.46,,129.35,106.39,77.35
Portugal,2002,,,,,,,68.95,114.34,,123.76,105.32,77.11
Portugal,2003,,,,,,,63.96,104.70,,112.96,100.76,59.13
Portugal,2004,,,,,,,59.93,106.95,,120.47,104.02,59.59
Portugal,2005,,,,,,,55.01,109.13,,123.28,101.23,60.22
Portugal,2006,,,,,,,51.11,100.24,,109.53,93.43,52.53
Portugal,2007,,,,,,,48.11,98.07,,105.43,92.19,50.25
Portugal,2008,,,,,,,44.97,87.56,,102.58,88.19,35.27
Portugal,2009,,,,,,,42.52,83.10,,100.12,83.55,24.40
Portugal,2010,,,,,,,40.31,77.15,,92.67,82.88,21.75
Portugal,2011,,,,,,,37.90,73.59,,91.66,83.85,19.90
Portugal,2012,,,,,,,35.92,70.77,,87.20,82.04,18.35
Portugal,2013,,,,,,,35.14,70.03,,81.76,79.98,16.75
Portugal,2014,,,,,,,34.22,69.31,,76.70,78.90,14.85
Portugal,2015,,,,,,,33.53,72.04,,80.03,79.54,15.32
Slovakia,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Slovakia,1991,,,,,,,95.64,90.54,,88.47,88.29,84.60
Slovakia,1992,,,,,,,87.33,84.69,,79.35,79.25,74.14
Slovakia,1993,,,,,,,89.51,81.08,,69.31,68.75,62.36
Slovakia,1994,,,,,,,84.55,76.58,,62.58,61.77,46.58
Slovakia,1995,,,,,,,82.38,80.18,,59.96,59.40,46.77
Slovakia,1996,,,,,,,71.09,60.81,,59.24,59.06,43.92
Slovakia,1997,,,,,,,71.09,57.21,,54.49,54.53,38.97
Slovakia,1998,,,,,,,67.72,59.91,,43.05,42.58,34.98
Slovakia,1999,,,,,,,65.35,54.51,,40.42,40.12,32.89
Slovakia,2000,,,,,,,59.42,48.39,,35.46,31.97,24.14
Slovakia,2001,,,,,,,60.32,48.54,,33.81,30.93,24.93
Slovakia,2002,,,,,,,57.44,45.14,,29.96,27.98,19.65
Slovakia,2003,,,,,,,57.82,44.06,,29.90,28.05,20.06
Slovakia,2004,,,,,,,57.88,44.62,,31.38,30.96,18.29
Slovakia,2005,,,,,,,53.87,45.88,,38.34,40.28,16.92
Slovakia,2006,,,,,,,53.96,43.40,,34.15,35.29,16.68
Slovakia,2007,,,,,,,49.32,43.07,,30.30,31.11,13.41
Slovakia,2008,,,,,,,48.51,42.16,,29.85,30.47,13.20
Slovakia,2009,,,,,,,41.16,37.93,,29.36,30.27,12.18
Slovakia,2010,,,,,,,43.74,39.91,,28.54,29.41,13.19
Slovakia,2011,,,,,,,44.98,38.39,,30.12,31.52,12.99
Slovakia,2012,,,,,,,43.81,36.48,,30.35,31.69,11.09
Slovakia,2013,,,,,,,43.25,35.85,,30.60,32.19,10.12
Slovakia,2014,,,,,,,44.58,38.14,,29.88,30.95,8.61
Slovakia,2015,,,,,,,45.66,38.83,,30.98,32.38,13.58
Slovenia,1990,,,,,,,100.00,100.00,,,,100.00
Slovenia,1991,,,,,,,96.77,91.39,,,,92.69
Slovenia,1992,,,,,,,86.96,90.17,,,,96.24
Slovenia,1993,,,,,,,90.33,92.83,,,,94.69
Slovenia,1994,,,,,,,88.21,97.57,,,,91.50
Slovenia,1995,,,,,,,87.96,96.08,,,,61.61
Slovenia,1996,,,,,,,91.39,99.02,,,,57.40
Slovenia,1997,,,,,,,82.50,98.10,,,,59.16
Slovenia,1998,,,,,,,70.23,89.74,,,,54.58
Slovenia,1999,,,,,,,63.01,80.10,,,,47.69
Slovenia,2000,,,,,,,58.49,80.42,,,,46.62
Slovenia,2001,,,,,,,56.41,81.11,,,,31.81
Slovenia,2002,,,,,,,54.43,81.60,,,,31.63
Slovenia,2003,,,,,,,53.16,78.64,,,,30.83
Slovenia,2004,,,,,,,48.97,77.52,,,,25.52
Slovenia,2005,,,,,,,47.52,76.45,,,,20.42
Slovenia,2006,,,,,,,44.41,77.63,,,,8.27
Slovenia,2007,,,,,,,42.02,76.96,,,,7.38
Slovenia,2008,,,,,,,40.47,82.95,,,,6.49
Slovenia,2009,,,,,,,41.46,72.19,,,,5.38
Slovenia,2010,,,,,,,41.74,70.67,,,,5.04
Slovenia,2011,,,,,,,40.87,70.37,,,,5.91
Slovenia,2012,,,,,,,39.74,68.78,,,,5.39
Slovenia,2013,,,,,,,39.27,64.89,,,,5.76
Slovenia,2014,,,,,,,33.41,58.17,,,,4.38
Slovenia,2015,,,,,,,34.07,51.83,,,,2.72
Spain,1990,,,,,,,100.00,100.00,,,,100.00
Spain,1991,,,,,,,95.82,102.61,,,,101.06
Spain,1992,,,,,,,97.87,105.40,,,,99.25
Spain,1993,,,,,,,96.06,102.98,,,,93.72
Spain,1994,,,,,,,91.24,105.50,,,,91.36
Spain,1995,,,,,,,84.53,104.31,,,,84.69
Spain,1996,,,,,,,84.48,102.16,,,,74.71
Spain,1997,,,,,,,79.65,100.38,,,,81.23
Spain,1998,,,,,,,78.29,99.56,,,,73.83
Spain,1999,,,,,,,75.02,101.77,,,,73.52
Spain,2000,,,,,,,61.39,102.64,,,,68.33
Spain,2001,,,,,,,52.75,99.25,,,,66.03
Spain,2002,,,,,,,49.38,101.81,,,,71.93
Spain,2003,,,,,,,47.34,102.10,,,,60.24
Spain,2004,,,,,,,45.76,104.73,,,,61.66
Spain,2005,,,,,,,44.07,103.38,,,,59.24
Spain,2006,,,,,,,41.36,99.57,,,,53.71
Spain,2007,,,,,,,41.09,98.87,,,,52.01
Spain,2008,,,,,,,38.59,85.59,,,,23.55
Spain,2009,,,,,,,35.28,76.10,,,,21.21
Spain,2010,,,,,,,36.78,70.97,,,,19.75
Spain,2011,,,,,,,35.90,69.64,,,,21.40
Spain,2012,,,,,,,34.75,67.51,,,,18.99
Spain,2013,,,,,,,34.01,59.80,,,,12.13
Spain,2014,,,,,,,34.37,58.80,,,,11.94
Spain,2015,,,,,,,34.34,60.40,,,,12.68
Sweden,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Sweden,1991,,,,,,,104.28,101.01,,99.57,99.71,96.47
Sweden,1992,,,,,,,99.50,96.79,,97.41,96.74,89.64
Sweden,1993,,,,,,,90.99,91.99,,96.60,96.56,78.17
Sweden,1994,,,,,,,92.93,93.40,,95.50,94.71,76.29
Sweden,1995,,,,,,,87.97,90.03,,93.16,91.79,65.63
Sweden,1996,,,,,,,85.73,88.60,,92.14,91.07,63.72
Sweden,1997,,,,,,,78.66,85.03,,88.12,85.74,56.87
Sweden,1998,,,,,,,74.63,82.06,,85.33,81.04,53.66
Sweden,1999,,,,,,,69.39,79.76,,81.69,76.23,44.38
Sweden,2000,,,,,,,63.98,77.34,,80.12,73.59,39.64
Sweden,2001,,,,,,,61.34,74.02,,79.72,73.09,38.71
Sweden,2002,,,,,,,58.15,70.90,,79.24,72.20,38.58
Sweden,2003,,,,,,,57.47,69.66,,80.25,72.91,39.39
Sweden,2004,,,,,,,53.96,67.74,,81.26,73.31,35.19
Sweden,2005,,,,,,,53.08,66.04,,81.48,73.59,34.31
Sweden,2006,,,,,,,50.62,64.57,,80.44,71.45,34.10
Sweden,2007,,,,,,,50.46,61.76,,80.44,70.29,29.07
Sweden,2008,,,,,,,49.25,59.01,,77.33,67.17,26.84
Sweden,2009,,,,,,,48.21,54.92,,73.83,64.05,25.60
Sweden,2010,,,,,,,47.41,55.96,,75.23,65.84,27.52
Sweden,2011,,,,,,,46.28,52.88,,77.22,65.12,24.88
Sweden,2012,,,,,,,44.13,50.25,,72.03,62.30,23.97
Sweden,2013,,,,,,,43.69,49.26,,75.39,62.08,22.03
Sweden,2014,,,,,,,42.31,48.25,,68.00,53.99,19.69
Sweden,2015,,,,,,,41.83,46.63,,67.82,53.02,18.27
Switzerland,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Switzerland,1991,,,,,,,95.68,98.36,,100.72,101.63,91.81
Switzerland,1992,,,,,,,89.10,93.73,,98.34,97.57,83.18
Switzerland,1993,,,,,,,78.39,85.79,,95.38,93.41,66.83
Switzerland,1994,,,,,,,72.00,84.79,,92.47,89.00,68.71
Switzerland,1995,,,,,,,66.79,82.25,,89.39,86.65,65.10
Switzerland,1996,,,,,,,64.43,79.43,,88.32,85.60,64.01
Switzerland,1997,,,,,,,60.77,76.73,,84.93,79.80,58.80
Switzerland,1998,,,,,,,58.26,76.39,,82.87,76.63,55.78
Switzerland,1999,,,,,,,56.62,76.16,,80.58,74.34,42.01
Switzerland,2000,,,,,,,53.31,74.48,,78.69,71.02,38.42
Switzerland,2001,,,,,,,50.70,72.20,,77.60,69.89,45.25
Switzerland,2002,,,,,,,47.26,67.99,,75.27,66.05,38.94
Switzerland,2003,,,,,,,45.81,66.42,,74.90,65.56,37.79
Switzerland,2004,,,,,,,43.50,65.23,,74.55,64.35,37.45
Switzerland,2005,,,,,,,41.42,64.76,,74.60,64.00,38.07
Switzerland,2006,,,,,,,38.36,62.58,,73.85,62.50,34.40
Switzerland,2007,,,,,,,35.95,60.39,,72.76,59.75,29.26
Switzerland,2008,,,,,,,34.57,59.07,,73.14,59.64,29.69
Switzerland,2009,,,,,,,32.49,55.16,,71.62,56.82,24.99
Switzerland,2010,,,,,,,31.13,53.76,,71.75,56.65,26.23
Switzerland,2011,,,,,,,28.45,50.41,,69.45,52.28,21.64
Switzerland,2012,,,,,,,27.53,50.33,,69.83,52.58,22.20
Switzerland,2013,,,,,,,26.57,49.87,,70.00,52.55,21.57
Switzerland,2014,,,,,,,24.33,46.93,,67.61,48.42,19.57
Switzerland,2015,,,,,,,23.15,44.02,,66.64,47.35,16.66
Turkey,1990,,,,,,,100.00,100.00,,100.00,,100.00
Turkey,1991,,,,,,,101.86,99.73,,98.28,,105.05
Turkey,1992,,,,,,,103.40,105.61,,100.30,,107.31
Turkey,1993,,,,,,,101.52,116.28,,101.10,,100.59
Turkey,1994,,,,,,,95.18,115.29,,95.26,,102.74
Turkey,1995,,,,,,,99.29,124.70,,97.32,,107.96
Turkey,1996,,,,,,,102.97,134.38,,99.00,,115.65
Turkey,1997,,,,,,,108.43,134.98,,106.14,,125.22
Turkey,1998,,,,,,,102.26,134.34,,106.13,,129.46
Turkey,1999,,,,,,,95.01,138.96,,100.42,,124.82
Turkey,2000,,,,,,,142.15,119.68,,98.34,,128.18
Turkey,2001,,,,,,,121.30,115.14,,82.27,,113.36
Turkey,2002,,,,,,,121.35,112.00,,96.64,,107.00
Turkey,2003,,,,,,,123.54,115.45,,94.96,,102.39
Turkey,2004,,,,,,,123.62,120.14,,92.01,,101.77
Turkey,2005,,,,,,,116.97,128.40,,92.36,,114.54
Turkey,2006,,,,,,,118.38,134.50,,93.45,,123.52
Turkey,2007,,,,,,,120.36,151.06,,94.66,,144.29
Turkey,2008,,,,,,,135.60,143.69,,104.04,,146.30
Turkey,2009,,,,,,,140.85,140.15,,100.16,,152.23
Turkey,2010,,,,,,,140.05,136.64,,112.92,,146.26
Turkey,2011,,,,,,,134.72,155.86,,104.95,,150.85
Turkey,2012,,,,,,,144.21,147.74,,116.57,,155.19
Turkey,2013,,,,,,,103.88,141.66,,106.16,,111.03
Turkey,2014,,,,,,,98.43,139.23,,112.00,,122.72
Turkey,2015,,,,,,,116.08,156.07,,116.34,,110.78
United Kingdom,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
United Kingdom,1991,,,,,,,101.22,96.83,,98.74,101.26,95.79
United Kingdom,1992,,,,,,,96.06,94.73,,96.17,99.26,93.98
United Kingdom,1993,,,,,,,92.02,88.88,,92.08,96.70,84.80
United Kingdom,1994,,,,,,,86.79,84.71,,88.77,92.50,72.26
United Kingdom,1995,,,,,,,80.77,80.22,,80.11,83.12,64.36
United Kingdom,1996,,,,,,,81.22,76.55,,79.96,83.56,54.67
United Kingdom,1997,,,,,,,72.41,70.32,,74.74,78.67,44.80
United Kingdom,1998,,,,,,,67.48,68.40,,72.16,75.20,44.22
United Kingdom,1999,,,,,,,63.01,64.31,,69.66,74.02,33.81
United Kingdom,2000,,,,,,,54.75,62.17,,65.34,67.65,33.11
United Kingdom,2001,,,,,,,55.57,61.24,,64.00,66.88,30.80
United Kingdom,2002,,,,,,,49.40,57.81,,56.48,59.08,27.51
United Kingdom,2003,,,,,,,45.04,56.88,,57.39,59.39,26.89
United Kingdom,2004,,,,,,,42.75,55.34,,56.01,58.63,22.63
United Kingdom,2005,,,,,,,39.54,55.02,,55.43,57.46,19.29
United Kingdom,2006,,,,,,,37.66,53.26,,54.63,56.78,18.16
United Kingdom,2007,,,,,,,34.83,50.90,,53.20,55.18,15.95
United Kingdom,2008,,,,,,,32.95,45.87,,51.95,55.45,13.32
United Kingdom,2009,,,,,,,27.80,39.72,,48.65,52.98,10.85
United Kingdom,2010,,,,,,,26.63,38.94,,51.58,57.16,11.49
United Kingdom,2011,,,,,,,24.25,36.24,,47.53,51.78,10.65
United Kingdom,2012,,,,,,,23.98,37.18,,49.81,54.71,11.90
United Kingdom,2013,,,,,,,23.96,35.34,,50.13,55.17,10.29
United Kingdom,2014,,,,,,,23.12,32.64,,48.68,52.58,8.27
United Kingdom,2015,,,,,,,22.25,31.32,,48.66,53.03,6.39
United States,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
United States,1991,,,,,,,96.82,99.08,,98.53,96.83,96.96
United States,1992,,,,,,,93.64,99.45,,97.64,95.21,95.70
United States,1993,,,,,,,90.04,99.83,,98.60,94.56,94.36
United States,1994,,,,,,,86.61,99.22,,103.08,99.76,92.48
United States,1995,,,,,,,83.51,98.14,,93.04,91.65,80.68
United States,1996,,,,,,,79.57,96.89,,82.36,88.95,79.65
United States,1997,,,,,,,77.30,97.46,,82.55,82.76,81.65
United States,1998,,,,,,,75.63,96.07,,82.49,82.81,82.11
United States,1999,,,,,,,72.09,89.84,,84.26,95.38,75.78
United States,2000,,,,,,,70.95,88.75,,85.57,96.40,70.57
United States,2001,,,,,,,68.21,84.95,,85.42,92.54,68.88
United States,2002,,,,,,,61.50,94.75,,72.93,61.83,64.82
United States,2003,,,,,,,59.79,89.56,,73.25,62.92,63.85
United States,2004,,,,,,,58.08,84.31,,73.56,64.00,62.83
United States,2005,,,,,,,56.37,80.51,,73.85,65.07,62.82
United States,2006,,,,,,,54.48,76.03,,74.21,66.98,56.65
United States,2007,,,,,,,52.58,71.55,,74.57,68.89,50.48
United States,2008,,,,,,,47.15,66.81,,73.51,66.34,44.46
United States,2009,,,,,,,42.33,62.29,,72.14,66.00,39.10
United States,2010,,,,,,,43.04,58.61,,70.79,65.68,33.22
United States,2011,,,,,,,42.68,56.96,,69.89,65.80,27.67
United States,2012,,,,,,,40.80,54.50,,74.76,67.42,21.78
United States,2013,,,,,,,38.91,52.05,,79.63,69.05,21.07
United States,2014,,,,,,,37.03,49.60,,84.58,70.73,20.52
United States,2015,,,,,,,35.51,45.70,,84.47,70.35,16.17
