Entity,Year,Social Expenditure %GDP - (OWID extrapolated series),Social Expenditure %GDP - OECD (1985),Social Expenditure %GDP - OECD (SOCX),Social Expenditure %GDP - Lindert_Historical (2004),Social Expenditure %GDP - Lindert_OECD_Old (2004),Social Expenditure %GDP - Lindert_OECD_New (2004)
South Korea,2014,9.718,,9.718,,,
South Korea,2015,10.108,,10.108,,,
South Korea,2016,10.359,,10.359,,,
Spain,1880,0,,,0,,
Spain,1890,0,,,0,,
Spain,1900,0,,,0,,
Spain,1910,0.02,,,0.02,,
Spain,1920,0.04,,,0.04,,
Spain,1930,0.07,,,0.07,,
Spain,1980,14.984,,14.984,,,12.97
Spain,1985,17.14,,17.14,,,
Spain,1990,19.196,,19.196,,,17.01
Spain,1995,20.687,,20.687,,,19.01
Spain,2000,19.481,,19.481,,,
Spain,2005,20.407,,20.407,,,
Spain,2010,25.839,,25.839,,,
Spain,2013,26.28,,26.28,,,
Spain,2014,26.069,,26.069,,,
Spain,2015,25.371,,25.371,,,
Spain,2016,24.61,,24.61,,,
Sweden,1880,0.72,,,0.72,,
Sweden,1890,0.85,,,0.85,,
Sweden,1900,0.85,,,0.85,,
Sweden,1910,1.03,,,1.03,,
Sweden,1920,1.14,,,1.14,,
Sweden,1930,2.59,,,2.59,,
Sweden,1960,10.371663,10.826,,,10.83,
Sweden,1961,10.31828846,10.770,,,,
Sweden,1962,10.64236657,11.109,,,,
Sweden,1963,11.87388551,12.394,,,,
Sweden,1964,11.97488602,12.499,,,,
Sweden,1965,12.62406682,13.177,,,,
Sweden,1966,13.45810834,14.048,,,,
Sweden,1967,14.58088282,15.220,,,,
Sweden,1968,15.6460699,16.331,,,,
Sweden,1969,15.81166011,16.504,,,,
Sweden,1970,16.05500312,16.758,,,16.76,
Sweden,1971,17.59211005,18.363,,,,
Sweden,1972,17.60745739,18.379,,,,
Sweden,1973,17.62963126,18.402,,,,
Sweden,1974,20.16717138,21.050,,,,
Sweden,1975,20.2679074,21.156,,,,
Sweden,1976,21.20627974,22.135,,,,
Sweden,1977,23.46314589,24.491,,,,
Sweden,1978,24.13642272,25.194,,,,
Sweden,1979,24.08259006,25.137,,,,
Sweden,1980,24.847,25.935,24.847,,25.94,29.78
Sweden,1985,26.967,,26.967,,,
Sweden,1990,27.237,,27.237,,,32.18
Sweden,1995,30.561,,30.561,,,33.01
Sweden,2000,26.773,,26.773,,,
Sweden,2005,27.351,,27.351,,,
Sweden,2010,26.268,,26.268,,,
Sweden,2013,27.386,,27.386,,,
Sweden,2014,27.136,,27.136,,,
Sweden,2015,26.677,,26.677,,,
Sweden,2016,27.057,,27.057,,,
Switzerland,1930,1.17,,,1.17,,
Switzerland,1960,4.32690778,4.91838373,,,4.92,
Switzerland,1961,4.501247912,5.116555661,,,,
Switzerland,1962,5.189382161,5.898755899,,,,
Switzerland,1963,5.004051698,5.68809129,,,,
Switzerland,1964,5.814888199,6.609766828,,,,
Switzerland,1965,6.011906288,6.833716727,,,,
Switzerland,1966,6.218968922,7.069084232,,,,
Switzerland,1967,6.51146493,7.401563611,,,,
Switzerland,1968,6.584010153,7.484025559,,,,
Switzerland,1969,7.720370677,8.775723325,,,,
Switzerland,1970,7.46759271,8.488391331,,,8.49,
Switzerland,1971,7.718187241,8.773241419,,,,
Switzerland,1972,7.760210678,8.821009339,,,,
Switzerland,1973,9.58543835,10.89574043,,,,
Switzerland,1974,10.14228203,11.52870305,,,,
Switzerland,1975,11.93933065,13.57140309,,,,
Switzerland,1976,12.65016164,14.37940265,,,,
Switzerland,1977,12.76919976,14.51471294,,,,
Switzerland,1978,12.7801094,14.52711389,,,,
Switzerland,1979,12.77455349,14.52079851,,,,
Switzerland,1980,12.769,,12.769,,14.33,
Switzerland,1985,13.391,,13.391,,,
Switzerland,1990,12.126,,12.126,,,
Switzerland,1995,16.067,,16.067,,,18.87
Switzerland,2000,16.287,,16.287,,,
Switzerland,2005,18.426,,18.426,,,
Switzerland,2010,18.431,,18.431,,,
Switzerland,2013,19.195,,19.195,,,
Switzerland,2014,19.275,,19.275,,,
Switzerland,2015,19.608,,19.608,,,
Switzerland,2016,19.727,,19.727,,,
Turkey,1980,3.968,,3.968,,,
Turkey,1985,3.156,,3.156,,,
Turkey,1990,5.526,,5.526,,,
Turkey,1995,5.595,,5.595,,,
Turkey,2000,7.72,,7.72,,,
Turkey,2005,10.269,,10.269,,,
Turkey,2010,12.838,,12.838,,,
Turkey,2013,13.359,,13.359,,,
Turkey,2014,13.507,,13.507,,,
Turkey,2015,..,,,,,
Turkey,2016,..,,,,,
United Kingdom,1880,0.86,,,0.86,,
United Kingdom,1890,0.83,,,0.83,,
United Kingdom,1900,1,,,1,,
United Kingdom,1910,1.38,,,1.38,,
United Kingdom,1920,1.39,,,1.39,,
United Kingdom,1930,2.24,,,2.24,,
United Kingdom,1960,9.695266922,10.21369351,,,10.21,
United Kingdom,1961,9.937712696,10.46910338,,,,
United Kingdom,1962,10.12661549,10.6681072,,,,
United Kingdom,1963,10.61938825,11.18722958,,,,
United Kingdom,1964,10.44189031,11.00024044,,,,
United Kingdom,1965,11.0674075,11.65920537,,,,
United Kingdom,1966,11.28180096,11.88506291,,,,
United Kingdom,1967,11.91708486,12.55431679,,,,
United Kingdom,1968,12.38000025,13.04198526,,,,
United Kingdom,1969,12.37416384,13.03583676,,,,
United Kingdom,1970,12.529809,13.19980459,,,13.2,
United Kingdom,1971,12.4057028,13.06906217,,,,
United Kingdom,1972,13.17844005,13.88311934,,,,
United Kingdom,1973,12.79034068,13.47426747,,,,
United Kingdom,1974,14.16077486,14.91798168,,,,
United Kingdom,1975,14.83580065,15.62910253,,,,
United Kingdom,1976,15.37234632,16.19433845,,,,
United Kingdom,1977,15.31771467,16.13678553,,,,
United Kingdom,1978,15.62650275,16.46208517,,,,
United Kingdom,1979,15.5457689,16.3770343,,,,
United Kingdom,1980,15.587,16.42047012,15.587,,16.42,16.94
United Kingdom,1981,,17.81786521,,,,
United Kingdom,1985,18.181,,18.181,,,
United Kingdom,1990,15.244,,15.244,,,18.05
United Kingdom,1995,18.333,,18.333,,,22.52
United Kingdom,2000,17.706,,17.706,,,
United Kingdom,2005,19.408,,19.408,,,
United Kingdom,2010,22.785,,22.785,,,
United Kingdom,2013,21.874,,21.874,,,
United Kingdom,2014,21.58,,21.58,,,
United Kingdom,2015,21.502,,21.502,,,
United Kingdom,2016,21.493,,21.493,,,
United States,1880,0.29,,,0.29,,
United States,1890,0.45,,,0.45,,
United States,1900,0.55,,,0.55,,
United States,1910,0.56,,,0.56,,
United States,1920,0.7,,,0.7,,
United States,1930,0.56,,,0.56,,
United States,1960,6.20326758,7.263012072,,,7.26,
United States,1961,6.773312467,7.930441429,,,,
United States,1962,6.820596257,7.985803017,,,,
United States,1963,6.793083473,7.953590045,,,,
United States,1964,6.705333856,7.850849591,,,,
United States,1965,6.710177303,7.856520476,,,,
United States,1966,6.822748309,7.988322718,,,,
United States,1967,7.499537809,8.780732564,,,,
United States,1968,7.870623424,9.215213145,,,,
United States,1969,7.964243733,9.32482722,,,,
United States,1970,8.863118903,10.37726307,,,10.38,
United States,1971,9.581854501,11.21878494,,,,
United States,1972,9.727942847,11.38983051,,,,
United States,1973,9.922069919,11.61712157,,,,
United States,1974,10.89176915,12.75248082,,,,
United States,1975,12.3828651,14.49831037,,,,
United States,1976,12.23132896,14.32088634,,,,
United States,1977,12.00061609,14.05075929,,,,
United States,1978,11.6358021,13.62362175,,,,
United States,1979,11.78846715,13.80236756,,,,
United States,1980,12.836,15.02885725,12.836,,15.03,11.43
United States,1981,,15.24728094,,,,
United States,1985,12.837,,12.837,,,
United States,1990,13.167,,13.167,,,11.68
United States,1995,15.057,,15.057,,,13.67
United States,2000,14.25,,14.25,,,
United States,2005,15.649,,15.649,,,
United States,2010,19.346,,19.346,,,
United States,2013,18.816,,18.816,,,
United States,2014,18.813,,18.813,,,
United States,2015,18.954,,18.954,,,
United States,2016,19.321,,19.321,,,
